Term                                                                          	Code             	Retired
Acute occlusion of aortoiliac artery co-occurrent and due to thromboembolus   	723869004        	No     
Acute occlusion of aortoiliac artery due to thrombosis                        	723871004        	No     
Acute occlusion of artery of lower limb co-occurrent and due to thromboembolus	723870003        	No     
Acute occlusion of artery of lower limb due to thrombosis                     	723872006        	No     
Acute occlusion of artery of upper limb caused by thromboembolus              	733126003        	No     
Acute occlusion of artery of upper limb caused by thrombus                    	733127007        	No     
Anterior cerebral artery embolism                                             	429811000124106  	No     
Anterior choroidal artery thrombosis                                          	7931000119101    	No     
Anterior inferior cerebellar artery embolism                                  	429851000124107  	No     
Anterior spinal artery thrombosis                                             	230740003        	No     
Aortic bifurcation syndrome                                                   	233972005        	No     
Aortic bifurcation thrombosis                                                 	233976008        	No     
Aortic thromboembolism                                                        	274101000        	No     
Arterial air embolus                                                          	302968001        	No     
Arterial embolism                                                             	54687002         	No     
Arterial embolus and thrombosis                                               	266262004        	No     
Arterial graft thrombosis                                                     	280967004        	No     
Arterial obstruction due to nonthrombotic embolism from heart                 	723874007        	No     
Arterial obstruction due to thrombotic embolism from aneurysm of artery       	723875008        	No     
Arterial obstruction due to thrombotic embolism from mural thrombus of heart  	723873001        	No     
Arterial thrombosis                                                           	65198009         	No     
Arterial thrombosis of spinal cord                                            	111497000        	No     
Atheroembolism of bilateral renal arteries                                    	15966741000119101	No     
Atheroembolism of left lower limb                                             	16012471000119105	No     
Atheroembolism of left renal artery                                           	15966781000119106	No     
Atheroembolism of left upper limb                                             	16009351000119100	No     
Atheroembolism of renal arteries                                              	51677000         	No     
Atheroembolism of right lower limb                                            	16012631000119105	No     
Atheroembolism of right renal artery                                          	15966701000119103	No     
Atheroembolism of right upper limb                                            	16009391000119105	No     
Atheromatous embolus of lower limb                                            	425527003        	No     
Atheromatous embolus of upper limb                                            	427567003        	No     
Atherosclerotic plaque disruption with thrombosis of artery                   	449873008        	No     
Axillary artery embolus                                                       	297136002        	No     
