Term                                                                                                                                                                                     	Code             	Retired
Abnormal uterine bleeding                                                                                                                                                                	44991000119100   	No     
Abnormal uterine bleeding unrelated to menstrual cycle                                                                                                                                   	312984006        	No     
Accidental antepartum hemorrhage                                                                                                                                                         	405736009        	No     
Accidental hemorrhage during medical care                                                                                                                                                	242996005        	No     
Acute bloody pericarditis                                                                                                                                                                	176401009        	No     
Acute duodenal ulcer with hemorrhage                                                                                                                                                     	12847006         	No     
Acute duodenal ulcer with hemorrhage AND obstruction                                                                                                                                     	87756006         	No     
Acute duodenal ulcer with hemorrhage AND perforation                                                                                                                                     	86895006         	No     
Acute duodenal ulcer with hemorrhage AND with perforation but without obstruction                                                                                                        	51847008         	No     
Acute duodenal ulcer with hemorrhage but without obstruction                                                                                                                             	66767006         	No     
Acute duodenal ulcer with hemorrhage, with perforation AND with obstruction                                                                                                              	41986000         	No     
Acute gastric ulcer with hemorrhage                                                                                                                                                      	89748001         	No     
Acute gastric ulcer with hemorrhage AND obstruction                                                                                                                                      	46708007         	No     
Acute gastric ulcer with hemorrhage AND perforation                                                                                                                                      	48974009         	No     
Acute gastric ulcer with hemorrhage AND with perforation but without obstruction                                                                                                         	17067009         	No     
Acute gastric ulcer with hemorrhage but without obstruction                                                                                                                              	70418001         	No     
Acute gastric ulcer with hemorrhage, with perforation AND with obstruction                                                                                                               	53337006         	No     
Acute gastrointestinal hemorrhage                                                                                                                                                        	27719009         	No     
Acute gastrojejunal ulcer with hemorrhage                                                                                                                                                	63954007         	No     
Acute gastrojejunal ulcer with hemorrhage AND obstruction                                                                                                                                	72408002         	No     
Acute gastrojejunal ulcer with hemorrhage AND perforation                                                                                                                                	81387001         	No     
Acute gastrojejunal ulcer with hemorrhage AND with perforation but without obstruction                                                                                                   	66673003         	No     
Acute gastrojejunal ulcer with hemorrhage but without obstruction                                                                                                                        	59515005         	No     
Acute gastrojejunal ulcer with hemorrhage, with perforation AND with obstruction                                                                                                         	58711008         	No     
Acute hemorrhage                                                                                                                                                                         	8573003          	No     
Acute hemorrhagic cholecystitis                                                                                                                                                          	48413001         	No     
Acute hemorrhagic colitis due to Escherichia coli                                                                                                                                        	69810009         	No     
Acute hemorrhagic cystitis                                                                                                                                                               	81125004         	No     
Acute hemorrhagic enterocolitis                                                                                                                                                          	236016008        	No     
Acute hemorrhagic gastritis                                                                                                                                                              	2367005          	No     
Acute hemorrhagic leukoencephalitis                                                                                                                                                      	72986009         	No     
Acute hemorrhagic ulcer of rectum                                                                                                                                                        	721690003        	No     
Acute idiopathic neonatal pulmonary hemorrhage                                                                                                                                           	142221000119105  	No     
Acute lower gastrointestinal hemorrhage                                                                                                                                                  	85521005         	No     
Acute peptic ulcer with hemorrhage                                                                                                                                                       	12274003         	No     
Acute peptic ulcer with hemorrhage AND obstruction                                                                                                                                       	43406003         	No     
Acute peptic ulcer with hemorrhage and perforation                                                                                                                                       	111353003        	No     
Acute peptic ulcer with hemorrhage AND with perforation but without obstruction                                                                                                          	47064007         	No     
Acute peptic ulcer with hemorrhage but without obstruction                                                                                                                               	22157005         	No     
Acute peptic ulcer with hemorrhage, with perforation AND with obstruction                                                                                                                	28945005         	No     
Acute upper gastrointestinal hemorrhage                                                                                                                                                  	38938002         	No     
Angiogram-negative subarachnoid hemorrhage                                                                                                                                               	277303004        	No     
Anovular menstruation                                                                                                                                                                    	27585009         	No     
Ante AND/OR intrapartum hemorrhage associated with leiomyoma                                                                                                                             	26840006         	No     
Ante AND/OR intrapartum hemorrhage associated with trauma                                                                                                                                	75836008         	No     
Antepartum hemorrhage                                                                                                                                                                    	34842007         	No     
Antepartum hemorrhage associated with coagulation defect                                                                                                                                 	267199000        	No     
Antepartum hemorrhage due to cervical erosion                                                                                                                                            	698713005        	No     
Antepartum hemorrhage due to cervical polyp                                                                                                                                              	698712000        	No     
Antepartum hemorrhage due to disseminated intravascular coagulation                                                                                                                      	10835571000119102	No     
Antepartum hemorrhage due to placenta previa type I                                                                                                                                      	698708006        	No     
Antepartum hemorrhage due to placenta previa type II                                                                                                                                     	698709003        	No     
Antepartum hemorrhage due to placenta previa type III                                                                                                                                    	698710008        	No     
Antepartum hemorrhage due to placenta previa type IV                                                                                                                                     	698711007        	No     
Antepartum hemorrhage with afibrinogenemia                                                                                                                                               	237272003        	No     
Antepartum hemorrhage with coagulation defect - delivered                                                                                                                                	198917009        	No     
Antepartum hemorrhage with coagulation defect - not delivered                                                                                                                            	198918004        	No     
Antepartum hemorrhage with hyperfibrinolysis                                                                                                                                             	237271005        	No     
Antepartum hemorrhage with hypofibrinogenemia                                                                                                                                            	237270006        	No     
Antepartum hemorrhage with trauma                                                                                                                                                        	198920001        	No     
Antepartum hemorrhage with trauma - delivered                                                                                                                                            	198922009        	No     
Antepartum hemorrhage with trauma - not delivered                                                                                                                                        	198923004        	No     
Antepartum hemorrhage with uterine leiomyoma                                                                                                                                             	198925006        	No     
Antepartum hemorrhage with uterine leiomyoma - delivered                                                                                                                                 	198927003        	No     
Antepartum hemorrhage with uterine leiomyoma - not delivered                                                                                                                             	198928008        	No     
Antepartum hemorrhage, abruptio placentae and placenta previa                                                                                                                            	267197003        	No     
Anterior epistaxis                                                                                                                                                                       	232354002        	No     
Appendix hematoma                                                                                                                                                                        	262858002        	No     
Atonic postpartum hemorrhage                                                                                                                                                             	27214003         	No     
Basal ganglia hemorrhage                                                                                                                                                                 	195165005        	No     
Bilateral vertebral artery dissection                                                                                                                                                    	15710641000119100	No     
Bladder hemorrhage                                                                                                                                                                       	197887003        	No     
Bleeding following tonsillectomy                                                                                                                                                         	35101000119106   	No     
Bleeding from fauces                                                                                                                                                                     	249421000        	No     
Bleeding from female genital tract during pregnancy                                                                                                                                      	16320551000119109	No     
Bleeding from tonsillar bed                                                                                                                                                              	249423002        	No     
Bleeding gastric erosion                                                                                                                                                                 	307233002        	No     
Bleeding gastric varices                                                                                                                                                                 	24807004         	No     
Bleeding Meckel's diverticulum                                                                                                                                                           	445163001        	No     
Bleeding of unknown origin                                                                                                                                                               	413245000        	No     
Bleeding stress ulcer of stomach                                                                                                                                                         	308882008        	No     
Bleeding ulcer of esophagus                                                                                                                                                              	57748001         	No     
Bleeding varices of prostate                                                                                                                                                             	438510004        	No     
Brain stem hemorrhage                                                                                                                                                                    	95454007         	No     
Bronchial anastomotic hemorrhage                                                                                                                                                         	233802008        	No     
Bronchial hemorrhage                                                                                                                                                                     	405541003        	No     
Cecal hematoma                                                                                                                                                                           	262865005        	No     
Cerebellar (nontraumatic) and posterior fossa hemorrhage of fetus and newborn                                                                                                            	206419007        	No     
Cerebellar hematoma                                                                                                                                                                      	301765007        	No     
Cerebellar hemorrhage                                                                                                                                                                    	75038005         	No     
Cerebral hematoma in fetus or newborn                                                                                                                                                    	206194008        	No     
Cerebral hemisphere hemorrhage                                                                                                                                                           	73020009         	No     
Cerebral hemorrhage                                                                                                                                                                      	274100004        	No     
Cerebral hemorrhage due to birth injury                                                                                                                                                  	206196005        	No     
Cerebral hemorrhage due to intrapartum anoxia or hypoxia                                                                                                                                 	38453000         	No     
Cerebral hemorrhage following injury                                                                                                                                                     	450418003        	No     
Cerebromeningeal hemorrhage                                                                                                                                                              	42429001         	No     
Cerebrovascular accident with intracranial hemorrhage                                                                                                                                    	5571000124103    	No     
Chronic antral gastritis with hemorrhage                                                                                                                                                 	698352000        	No     
Chronic duodenal ulcer with hemorrhage                                                                                                                                                   	89469000         	No     
Chronic duodenal ulcer with hemorrhage AND obstruction                                                                                                                                   	34021006         	No     
Chronic duodenal ulcer with hemorrhage AND perforation                                                                                                                                   	36975000         	No     
Chronic duodenal ulcer with hemorrhage AND with perforation but without obstruction                                                                                                      	81142005         	No     
Chronic duodenal ulcer with hemorrhage but without obstruction                                                                                                                           	62341002         	No     
Chronic duodenal ulcer with hemorrhage, with perforation AND with obstruction                                                                                                            	86258000         	No     
Chronic gastric ulcer with hemorrhage                                                                                                                                                    	57246001         	No     
Chronic gastric ulcer with hemorrhage AND with obstruction                                                                                                                               	85859006         	No     
Chronic gastric ulcer with hemorrhage AND with perforation                                                                                                                               	76181002         	No     
Chronic gastric ulcer with hemorrhage AND with perforation but without obstruction                                                                                                       	74341002         	No     
Chronic gastric ulcer with hemorrhage but without obstruction                                                                                                                            	76078009         	No     
Chronic gastric ulcer with hemorrhage, with perforation AND with obstruction                                                                                                             	85787009         	No     
Chronic gastrointestinal hemorrhage                                                                                                                                                      	83628005         	No     
Chronic gastrojejunal ulcer with hemorrhage                                                                                                                                              	62838000         	No     
Chronic gastrojejunal ulcer with hemorrhage AND obstruction                                                                                                                              	90257004         	No     
Chronic gastrojejunal ulcer with hemorrhage AND perforation                                                                                                                              	45640006         	No     
Chronic gastrojejunal ulcer with hemorrhage AND with perforation but without obstruction                                                                                                 	46523000         	No     
Chronic gastrojejunal ulcer with hemorrhage but without perforation                                                                                                                      	59356009         	No     
Chronic gastrojejunal ulcer with hemorrhage, with perforation AND with obstruction                                                                                                       	24001002         	No     
Chronic intracranial subdural hematoma                                                                                                                                                   	304831001        	No     
Chronic lower gastrointestinal hemorrhage                                                                                                                                                	68162000         	No     
Chronic non-traumatic intracranial subdural hemorrhage                                                                                                                                   	609382000        	No     
Chronic peptic ulcer with hemorrhage                                                                                                                                                     	49232000         	No     
Chronic peptic ulcer with hemorrhage AND obstruction                                                                                                                                     	56461008         	No     
Chronic peptic ulcer with hemorrhage AND perforation                                                                                                                                     	61300005         	No     
Chronic peptic ulcer with hemorrhage AND with perforation but without obstruction                                                                                                        	55746001         	No     
Chronic peptic ulcer with hemorrhage but without obstruction                                                                                                                             	81518000         	No     
Chronic peptic ulcer with hemorrhage, with perforation AND with obstruction                                                                                                              	77661009         	No     
Chronic upper gastrointestinal hemorrhage                                                                                                                                                	25349007         	No     
Closed fracture of base of skull with intracranial hemorrhage                                                                                                                            	111601003        	No     
Closed fracture of base of skull with subarachnoid, subdural AND/OR extradural hemorrhage                                                                                                	29264003         	No     
Closed fracture of vault of skull with intracranial hemorrhage                                                                                                                           	111593004        	No     
Closed fracture of vault of skull with subarachnoid, subdural AND/OR extradural hemorrhage                                                                                               	57998008         	No     
Closed skull fracture with intracranial hemorrhage                                                                                                                                       	111611005        	No     
Closed skull fracture with subarachnoid, subdural AND/OR extradural hemorrhage                                                                                                           	58020007         	No     
Closed traumatic subdural hemorrhage                                                                                                                                                     	209947002        	No     
Clotted hemothorax                                                                                                                                                                       	297188009        	No     
Coffee ground vomiting                                                                                                                                                                   	40835002         	No     
Colonic hematoma                                                                                                                                                                         	262870003        	No     
Concealed accidental hemorrhage                                                                                                                                                          	237274002        	No     
Convexal subarachnoid hemorrhage                                                                                                                                                         	703217005        	No     
Corpus cavernosum hematoma                                                                                                                                                               	198031007        	No     
Cortical hemorrhage                                                                                                                                                                      	49422009         	No     
Couvelaire uterus                                                                                                                                                                        	62131008         	No     
Deep hemispheric cerebral hemorrhage                                                                                                                                                     	703156006        	No     
Delayed AND/OR excessive hemorrhage following molar AND/OR ectopic pregnancy                                                                                                             	79133008         	No     
Delayed AND/OR secondary postpartum hemorrhage                                                                                                                                           	23171006         	No     
Dissecting aneurysm of anterior cerebral artery                                                                                                                                          	429251000124108  	No     
Dissecting aneurysm of cerebral artery                                                                                                                                                   	429221000124104  	No     
Dissecting aneurysm of middle cerebral artery                                                                                                                                            	429231000124101  	No     
Dissecting aneurysm of posterior cerebral artery                                                                                                                                         	429241000124106  	No     
Dissection of cerebral artery                                                                                                                                                            	713081000        	No     
Dissection of renal artery                                                                                                                                                               	713036004        	No     
Dissection of vertebral artery                                                                                                                                                           	230730001        	No     
Diverticulosis of small intestine with hemorrhage                                                                                                                                        	733151002        	No     
Duodenal anastomotic hemorrhage                                                                                                                                                          	236095006        	No     
Duodenal hematoma                                                                                                                                                                        	262843005        	No     
Duodenal hemorrhage                                                                                                                                                                      	95533003         	No     
Duodenal hemorrhage due to angiodysplasia of duodenum                                                                                                                                    	1082701000119105 	No     
Duodenal hemorrhage due to Dieulafoy lesion of duodenum                                                                                                                                  	1086031000119101 	No     
Duodenal ulcer with hemorrhage                                                                                                                                                           	27281001         	No     
Duodenal ulcer with hemorrhage AND obstruction                                                                                                                                           	18367003         	No     
Duodenal ulcer with hemorrhage AND perforation                                                                                                                                           	23812009         	No     
Duodenal ulcer with hemorrhage AND with perforation but without obstruction                                                                                                              	15115006         	No     
Duodenal ulcer with hemorrhage but without obstruction                                                                                                                                   	35560008         	No     
Duodenal ulcer with hemorrhage, with perforation AND with obstruction                                                                                                                    	12355008         	No     
Dysfunctional uterine bleeding                                                                                                                                                           	19155002         	No     
Enterostomy hemorrhage                                                                                                                                                                   	1086761000119107 	No     
Epidural hemorrhage                                                                                                                                                                      	82999001         	No     
Epistaxis                                                                                                                                                                                	12441001         	No     
Esophageal anastomotic hemorrhage                                                                                                                                                        	236093004        	No     
Esophageal bleeding                                                                                                                                                                      	15238002         	No     
Esophageal bleeding due to ulcerative esophagitis                                                                                                                                        	439442003        	No     
Esophageal hematoma                                                                                                                                                                      	262790002        	No     
Exsanguination                                                                                                                                                                           	48149007         	No     
Extensive post-operative bruising                                                                                                                                                        	403690007        	No     
External capsule hemorrhage                                                                                                                                                              	195167002        	No     
Extradural hemorrhage following injury with open intracranial wound                                                                                                                      	65189006         	No     
Extradural hemorrhage following injury with open intracranial wound AND brief loss of consciousness (less than one hour)                                                                 	73308006         	No     
Extradural hemorrhage following injury with open intracranial wound AND concussion                                                                                                       	28155008         	No     
Extradural hemorrhage following injury with open intracranial wound AND loss of consciousness                                                                                            	111681000        	No     
Extradural hemorrhage following injury with open intracranial wound AND moderate loss of consciousness (1-24 hours)                                                                      	59648004         	No     
Extradural hemorrhage following injury with open intracranial wound AND prolonged loss of consciousness (more than 24 hours) AND return to pre-existing conscious level                  	81520002         	No     
Extradural hemorrhage following injury with open intracranial wound AND prolonged loss of consciousness (more than 24 hours) without return to pre-existing conscious level              	86182004         	No     
Extradural hemorrhage following injury with open intracranial wound, with no loss of consciousness                                                                                       	209978003        	No     
Extradural hemorrhage following injury without open intracranial wound                                                                                                                   	43216008         	No     
Extradural hemorrhage following injury without open intracranial wound AND with brief loss of consciousness (less than one hour)                                                         	40549004         	No     
Extradural hemorrhage following injury without open intracranial wound AND with concussion                                                                                               	77498000         	No     
Extradural hemorrhage following injury without open intracranial wound AND with loss of consciousness                                                                                    	90178008         	No     
Extradural hemorrhage following injury without open intracranial wound AND with moderate loss of consciousness (1-24 hours)                                                              	62973004         	No     
Extradural hemorrhage following injury without open intracranial wound AND with no loss of consciousness                                                                                 	111679002        	No     
Extradural hemorrhage following injury without open intracranial wound AND with prolonged loss of consciousness (more than 24 hours) AND return to pre-existing conscious level          	84792001         	No     
Extradural hemorrhage following injury without open intracranial wound AND with prolonged loss of consciousness (more than 24 hours) without return to pre-existing conscious level      	16907002         	No     
Extradural hemorrhage in fetus or newborn                                                                                                                                                	206195009        	No     
Extradural intracranial hematoma                                                                                                                                                         	428268007        	No     
Extraperitoneal hemorrhage postprocedure                                                                                                                                                 	308898001        	No     
Failed attempted termination of pregnancy complicated by delayed and/or excessive hemorrhage                                                                                             	26623000         	No     
Fetal cerebral hemorrhage                                                                                                                                                                	288276001        	No     
Fetal exsanguination                                                                                                                                                                     	52977000         	No     
Fetal or neonatal intracerebral non-traumatic hemorrhage                                                                                                                                 	722582007        	No     
Fetal or neonatal intraventricular non-traumatic hemorrhage grade 4                                                                                                                      	722580004        	No     
Fetal or neonatal non-traumatic hemorrhage of subarachnoid space of brain                                                                                                                	722583002        	No     
Fetal or neonatal non-traumatic hemorrhage of subdural space of brain                                                                                                                    	722584008        	No     
Fetal or neonatal non-traumatic intraventricular hemorrhage                                                                                                                              	722581000        	No     
Focal hemorrhagic contusion of cerebrum                                                                                                                                                  	722615007        	No     
Focal traumatic hematoma of brainstem                                                                                                                                                    	722624003        	No     
Focal traumatic hematoma of cerebellum                                                                                                                                                   	722620007        	No     
Focal traumatic hemorrhage of brainstem                                                                                                                                                  	722623009        	No     
Focal traumatic hemorrhage of cerebellum                                                                                                                                                 	722619001        	No     
Gastric anastomotic hemorrhage                                                                                                                                                           	236094005        	No     
Gastric hemorrhage                                                                                                                                                                       	61401005         	No     
Gastric hemorrhage due to alcoholic gastritis                                                                                                                                            	40241000119109   	No     
Gastric hemorrhage due to allergic gastritis                                                                                                                                             	1082631000119106 	No     
Gastric hemorrhage due to angiodysplasia of stomach                                                                                                                                      	1082711000119108 	No     
Gastric hemorrhage due to atrophic gastritis                                                                                                                                             	150721000119102  	No     
Gastric hemorrhage due to chronic superficial gastritis                                                                                                                                  	1085121000119107 	No     
Gastric hemorrhage due to Dieulafoy lesion of stomach                                                                                                                                    	1086041000119105 	No     
Gastric hemorrhage due to eosinophilic gastritis                                                                                                                                         	123411000119106  	No     
