Term                                                                	Code            	Retired
History of cancer metastatic to bone                                	1099291000119102	No     
Leukemic reticuloendotheliosis of lymph nodes of head, face and neck	188645002       	No     
Metastasis to bone of unknown primary                               	285618001       	No     
Metastasis to vertebral column of unknown primary                   	285619009       	No     
Prostate cancer metastatic to bone                                  	712849003       	No     
Secondary adenocarcinoma of bone                                    	91281000119103  	No     
Secondary malignant neoplasm of acromion                            	94157000        	No     
Secondary malignant neoplasm of bone                                	94222008        	No     
Secondary malignant neoplasm of bone marrow                         	94217008        	No     
Secondary malignant neoplasm of bone of face                        	94218003        	No     
Secondary malignant neoplasm of bone of lower limb                  	94219006        	No     
Secondary malignant neoplasm of bone of skull                       	94220000        	No     
Secondary malignant neoplasm of bone of upper limb                  	94221001        	No     
Secondary malignant neoplasm of calcaneus                           	94236003        	No     
Secondary malignant neoplasm of carpal bone                         	94240007        	No     
Secondary malignant neoplasm of cervical vertebral column           	94250008        	No     
Secondary malignant neoplasm of clavicle                            	94256002        	No     
Secondary malignant neoplasm of coccyx                              	94259009        	No     
Secondary malignant neoplasm of cuboid                              	94269003        	No     
Secondary malignant neoplasm of ethmoid bone                        	94287000        	No     
Secondary malignant neoplasm of femur                               	94300004        	No     
Secondary malignant neoplasm of fibula                              	94301000        	No     
Secondary malignant neoplasm of first cuneiform bone of foot        	94302007        	No     
Secondary malignant neoplasm of frontal bone                        	94308006        	No     
Secondary malignant neoplasm of hamate bone                         	94322006        	No     
Secondary malignant neoplasm of ilium                               	94337005        	No     
Secondary malignant neoplasm of ischium                             	94353008        	No     
Secondary malignant neoplasm of long bone of lower limb             	94382009        	No     
Secondary malignant neoplasm of long bone of upper limb             	94383004        	No     
Secondary malignant neoplasm of lumbar vertebral column             	94389000        	No     
Secondary malignant neoplasm of lunate bone                         	94390009        	No     
Secondary malignant neoplasm of mandible                            	94403001        	No     
Secondary malignant neoplasm of mastoid air cells                   	94404007        	No     
Secondary malignant neoplasm of maxilla                             	94405008        	No     
Secondary malignant neoplasm of metacarpal bone                     	94411006        	No     
Secondary malignant neoplasm of metatarsal bone                     	94412004        	No     
Secondary malignant neoplasm of nasal bone                          	94435001        	No     
Secondary malignant neoplasm of navicular bone of foot              	94439007        	No     
Secondary malignant neoplasm of occipital bone                      	94447007        	No     
Secondary malignant neoplasm of palatine bone                       	94457008        	No     
Secondary malignant neoplasm of parietal bone                       	94470004        	No     
Secondary malignant neoplasm of patella                             	94476005        	No     
Secondary malignant neoplasm of pelvic bone                         	94478006        	No     
Secondary malignant neoplasm of phalanx of foot                     	94486006        	No     
Secondary malignant neoplasm of phalanx of hand                     	94487002        	No     
Secondary malignant neoplasm of pisiform bone of hand               	94490008        	No     
Secondary malignant neoplasm of pubis                               	94504009        	No     
Secondary malignant neoplasm of radius                              	94508007        	No     
Secondary malignant neoplasm of rib                                 	94521000        	No     
Secondary malignant neoplasm of sacrum                              	94527001        	No     
Secondary malignant neoplasm of scaphoid bone                       	94440009        	No     
Secondary malignant neoplasm of scapula                             	94529003        	No     
Secondary malignant neoplasm of second cuneiform bone of foot       	94533005        	No     
Secondary malignant neoplasm of short bone of lower limb            	94535003        	No     
Secondary malignant neoplasm of short bone of upper limb            	94536002        	No     
Secondary malignant neoplasm of sphenoid bone                       	94598003        	No     
Secondary malignant neoplasm of sternum                             	94605004        	No     
Secondary malignant neoplasm of talus                               	94619004        	No     
Secondary malignant neoplasm of tarsal bone                         	94620005        	No     
Secondary malignant neoplasm of temporal bone                       	94621009        	No     
Secondary malignant neoplasm of third cuneiform bone of foot        	94630001        	No     
Secondary malignant neoplasm of thoracic vertebral column           	94274006        	No     
Secondary malignant neoplasm of tibia                               	94635006        	No     
Secondary malignant neoplasm of trapezium                           	94644007        	No     
Secondary malignant neoplasm of trapezoid bone                      	94645008        	No     
Secondary malignant neoplasm of ulna                                	94650002        	No     
Secondary malignant neoplasm of vertebral column                    	94602001        	No     
Secondary malignant neoplasm of vomer                               	94680007        	No     
Secondary malignant neoplasm of zygomatic bone                      	94683009        	No     
Thyroid cancer metastatic to bone                                   	424887002       	No     
