Term                                                                                                                	Code             	Retired
Accelerated coronary artery disease in transplanted heart                                                           	233844002        	No     
Acute anterior ST segment elevation myocardial infarction                                                           	703164000        	No     
Acute anteroapical myocardial infarction                                                                            	52035003         	No     
Acute anteroseptal myocardial infarction                                                                            	62695002         	No     
Acute coronary artery occlusion not resulting in myocardial infarction                                              	78741000119103   	No     
Acute coronary insufficiency                                                                                        	194823009        	No     
Acute coronary syndrome                                                                                             	394659003        	No     
Acute infarction of papillary muscle                                                                                	10273003         	No     
Acute ischemic heart disease                                                                                        	413439005        	No     
Acute myocardial infarction                                                                                         	57054005         	No     
Acute myocardial infarction due to left coronary artery occlusion                                                   	17531000119105   	No     
Acute myocardial infarction due to right coronary artery occlusion                                                  	23311000119105   	No     
Acute myocardial infarction during procedure                                                                        	703212004        	No     
Acute myocardial infarction of anterior wall                                                                        	54329005         	No     
Acute myocardial infarction of anterior wall involving right ventricle                                              	703252002        	No     
Acute myocardial infarction of anterolateral wall                                                                   	70211005         	No     
Acute myocardial infarction of apical-lateral wall                                                                  	59063002         	No     
Acute myocardial infarction of atrium                                                                               	194809007        	No     
Acute myocardial infarction of basal-lateral wall                                                                   	282006           	No     
Acute myocardial infarction of high lateral wall                                                                    	64627002         	No     
Acute myocardial infarction of inferior wall                                                                        	73795002         	No     
Acute myocardial infarction of inferior wall involving right ventricle                                              	703251009        	No     
Acute myocardial infarction of inferolateral wall                                                                   	65547006         	No     
Acute myocardial infarction of inferoposterior wall                                                                 	76593002         	No     
Acute myocardial infarction of lateral wall                                                                         	58612006         	No     
Acute myocardial infarction of posterobasal wall                                                                    	70998009         	No     
Acute myocardial infarction of posterolateral wall                                                                  	15990001         	No     
Acute myocardial infarction of septum                                                                               	79009004         	No     
Acute myocardial infarction with rupture of ventricle                                                               	30277009         	No     
Acute myocardial ischemia                                                                                           	413444003        	No     
Acute non-Q wave infarction                                                                                         	307140009        	No     
Acute non-Q wave infarction - anterolateral                                                                         	233828006        	No     
Acute non-Q wave infarction - anteroseptal                                                                          	233826005        	No     
Acute non-Q wave infarction - inferior                                                                              	233830008        	No     
Acute non-Q wave infarction - inferolateral                                                                         	233832000        	No     
Acute non-Q wave infarction - lateral                                                                               	233834004        	No     
Acute non-Q wave infarction - widespread                                                                            	233837006        	No     
Acute non-ST segment elevation myocardial infarction                                                                	401314000        	No     
Acute posterior myocardial infarction                                                                               	233838001        	No     
Acute Q wave infarction - anterolateral                                                                             	233827001        	No     
Acute Q wave infarction - anteroseptal                                                                              	233825009        	No     
Acute Q wave infarction - inferior                                                                                  	233829003        	No     
Acute Q wave infarction - inferolateral                                                                             	233831007        	No     
Acute Q wave infarction - lateral                                                                                   	233833005        	No     
Acute Q wave infarction - widespread                                                                                	233836002        	No     
Acute Q wave myocardial infarction                                                                                  	304914007        	No     
Acute ST segment elevation myocardial infarction                                                                    	401303003        	No     
Acute ST segment elevation myocardial infarction due to left coronary artery occlusion                              	15713081000119108	No     
Acute ST segment elevation myocardial infarction due to right coronary artery occlusion                             	15713121000119105	No     
Acute ST segment elevation myocardial infarction involving left anterior descending coronary artery                 	285981000119103  	No     
Acute ST segment elevation myocardial infarction involving left main coronary artery                                	285991000119100  	No     
Acute ST segment elevation myocardial infarction of anterior wall involving right ventricle                         	703165004        	No     
Acute ST segment elevation myocardial infarction of anteroapical wall                                               	15962541000119106	No     
Acute ST segment elevation myocardial infarction of anterolateral wall                                              	15712881000119105	No     
Acute ST segment elevation myocardial infarction of anteroseptal wall                                               	15712961000119108	No     
Acute ST segment elevation myocardial infarction of inferior wall                                                   	703213009        	No     
Acute ST segment elevation myocardial infarction of inferior wall involving right ventricle                         	703253007        	No     
Acute ST segment elevation myocardial infarction of lateral wall                                                    	15712921000119103	No     
Acute ST segment elevation myocardial infarction of posterior wall                                                  	15713041000119103	No     
Acute ST segment elevation myocardial infarction of posterobasal wall                                               	15713201000119105	No     
Acute ST segment elevation myocardial infarction of posterolateral wall                                             	15712841000119100	No     
Acute ST segment elevation myocardial infarction of septum                                                          	15713161000119100	No     
Acute subendocardial infarction                                                                                     	70422006         	No     
Acute widespread myocardial infarction                                                                              	233835003        	No     
Angina associated with type 2 diabetes mellitus                                                                     	791000119109     	No     
Angina co-occurrent and due to arteriosclerosis of autologous arterial coronary artery bypass graft                 	15960781000119108	No     
Angina co-occurrent and due to arteriosclerosis of coronary artery bypass graft                                     	15960381000119109	No     
Angina co-occurrent and due to coronary arteriosclerosis                                                            	15960141000119102	No     
Angina decubitus                                                                                                    	59021001         	No     
Angina pectoris                                                                                                     	194828000        	No     
Angina, class I                                                                                                     	61490001         	No     
Angina, class II                                                                                                    	41334000         	No     
Angina, class III                                                                                                   	85284003         	No     
Angina, class IV                                                                                                    	89323001         	No     
Asymptomatic coronary heart disease                                                                                 	315348000        	No     
Atherosclerosis of coronary artery without angina pectoris                                                          	451041000124103  	No     
Atypical angina                                                                                                     	371807002        	No     
Bifurcation lesion of coronary artery                                                                               	371894001        	No     
Calcific coronary arteriosclerosis                                                                                  	92517006         	No     
Chronic ischemic heart disease                                                                                      	413838009        	No     
Chronic myocardial ischemia                                                                                         	413844008        	No     
Chronic total occlusion of coronary artery                                                                          	117051000119103  	No     
Congenital coronary artery sclerosis                                                                                	42866003         	No     
Coronary arteriosclerosis                                                                                           	53741008         	No     
Coronary arteriosclerosis after percutaneous coronary angioplasty                                                   	11018701000119109	No     
Coronary arteriosclerosis due to radiation                                                                          	427919004        	No     
Coronary arteriosclerosis following coronary artery bypass graft                                                    	139011000119104  	No     
Coronary arteriosclerosis in native artery                                                                          	1641000119107    	No     
Coronary arteriosclerosis in patient with history of previous myocardial infarction                                 	103011000119106  	No     
Coronary artery atheroma                                                                                            	67682002         	No     
Coronary artery bypass graft occlusion                                                                              	408546009        	No     
Coronary artery embolism                                                                                            	29899005         	No     
Coronary artery occlusion due to neoplastic disease                                                                 	703356002        	No     
Coronary atherosclerosis                                                                                            	443502000        	No     
Coronary occlusion                                                                                                  	63739005         	No     
Double coronary vessel disease                                                                                      	194843003        	No     
Exercise-induced angina                                                                                             	300995000        	No     
First myocardial infarction                                                                                         	394710008        	No     
Fracture of stent of coronary artery                                                                                	442298000        	No     
Furcation lesion of coronary artery                                                                                 	440444007        	No     
H/O: myocardial infarct at greater than 60                                                                          	161503005        	No     
H/O: myocardial infarct at less than 60                                                                             	161502000        	No     
H/O: Myocardial infarction in last year                                                                             	308065005        	No     
History of acute ST segment elevation myocardial infarction                                                         	285721000119104  	No     
History of coronary artery bypass grafting                                                                          	399261000        	No     
History of myocardial infarction                                                                                    	399211009        	No     
History of myocardial infarction in last eight weeks                                                                	461000119108     	No     
History of non-ST segment elevation myocardial infarction                                                           	698593009        	No     
History of percutaneous coronary intervention                                                                       	405741001        	No     
History of placement of stent in coronary artery bypass graft                                                       	130541000119100  	No     
Impending infarction                                                                                                	25106000         	No     
Ischemic contracture of left ventricle syndrome                                                                     	82522008         	No     
Ischemic heart disease                                                                                              	414545008        	No     
Left coronary artery occlusion                                                                                      	123641001        	No     
Left main coronary artery disease                                                                                   	371804009        	No     
Lipid-rich atherosclerosis of coronary artery                                                                       	451361000124102  	No     
Mechanical complication of coronary bypass                                                                          	213037002        	No     
Microinfarct of heart                                                                                               	42531007         	No     
Microvascular ischemia of myocardium                                                                                	697976003        	No     
Mixed myocardial ischemia and infarction                                                                            	428196007        	No     
Multi vessel coronary artery disease                                                                                	371803003        	No     
Myocardial infarction                                                                                               	22298006         	No     
Myocardial infarction in recovery phase                                                                             	418044006        	No     
Myocardial infarction with complication                                                                             	371068009        	No     
Myocardial ischemia                                                                                                 	414795007        	No     
Myocardial ischemia during surgery                                                                                  	10971000087107   	No     
Myocardial ischemia of newborn                                                                                      	276516009        	No     
New onset angina                                                                                                    	233821000        	No     
Nocturnal angina                                                                                                    	35928006         	No     
Non-obstructive atherosclerosis of coronary artery                                                                  	719678003        	No     
Non-Q wave myocardial infarction                                                                                    	314207007        	No     
Obliterative coronary artery disease                                                                                	420006002        	No     
Old anterior myocardial infarction                                                                                  	233839009        	No     
