Term                                                                                                                          	Code             	Retired
11p partial monosomy syndrome                                                                                                 	4135001          	No     
Abdominothoracic neuroblastoma                                                                                                	281566005        	No     
Acantholytic squamous cell carcinoma                                                                                          	403901001        	No     
Acantholytic squamous cell carcinoma of skin                                                                                  	254654004        	No     
Accelerated phase chronic myeloid leukemia                                                                                    	413389003        	No     
Acral lentiginous malignant melanoma of skin                                                                                  	254732008        	No     
Acute biphenotypic leukemia                                                                                                   	278453007        	No     
Acute eosinophilic leukemia                                                                                                   	277604002        	No     
Acute leukemia                                                                                                                	91855006         	No     
Acute leukemia in remission                                                                                                   	91854005         	No     
Acute leukemia of ambiguous lineage                                                                                           	721308005        	No     
Acute lymphoblastic leukemia, transitional pre-B-cell                                                                         	371012000        	No     
Acute lymphoid leukemia                                                                                                       	91857003         	No     
Acute lymphoid leukemia in remission                                                                                          	91856007         	No     
Acute lymphoid leukemia relapse                                                                                               	12301000132103   	No     
Acute megakaryoblastic leukemia                                                                                               	277602003        	No     
Acute monoblastic leukemia                                                                                                    	277601005        	No     
Acute monoblastic leukemia in remission                                                                                       	698646006        	No     
Acute monocytic leukemia                                                                                                      	413441006        	No     
Acute monocytic leukemia in remission                                                                                         	91858008         	No     
Acute monocytic/monoblastic leukemia                                                                                          	413442004        	No     
Acute myeloid leukemia due to recurrent genetic abnormality                                                                   	721305008        	No     
Acute myeloid leukemia in remission                                                                                           	91860005         	No     
Acute myeloid leukemia with maturation, FAB M2                                                                                	359648001        	No     
Acute myeloid leukemia with maturation, FAB M2, in remission                                                                  	426124006        	No     
Acute myeloid leukemia with myelodysplasia-related changes                                                                    	445448008        	No     
Acute myeloid leukemia with t(6;9)(p23;q34) translocation                                                                     	733598001        	No     
Acute myeloid leukemia with t(8;16)(p11;p13) translocation                                                                    	725390002        	No     
Acute myeloid leukemia with t(9:11)(p22;q23); MLLT3-MLL                                                                       	444911000        	No     
Acute myeloid leukemia without maturation, FAB M1                                                                             	359640008        	No     
Acute myeloid leukemia without maturation, FAB M1 in remission                                                                	61321000119106   	No     
Acute myeloid leukemia, disease                                                                                               	91861009         	No     
Acute myeloid leukemia, minimal differentiation, FAB M0                                                                       	359631009        	No     
Acute myeloid leukemia, minimal differentiation, FAB M0 in remission                                                          	61311000119104   	No     
Acute myelomonocytic leukemia - eosinophilic variant                                                                          	285839005        	No     
Acute myelomonocytic leukemia, FAB M4                                                                                         	110005000        	No     
Acute myelomonocytic leukemia, FAB M4, in remission                                                                           	427658007        	No     
Acute panmyelosis with myelofibrosis                                                                                          	109991003        	No     
Acute promyelocytic leukemia - hypogranular variant                                                                           	285769009        	No     
Acute promyelocytic leukemia, FAB M3                                                                                          	110004001        	No     
Acute promyelocytic leukemia, FAB M3, in remission                                                                            	425869007        	No     
Adamantinoma of femur                                                                                                         	433067002        	No     
Adamantinoma of long bone                                                                                                     	307609003        	No     
Adamantinoma of long bone of lower limb                                                                                       	101371000119101  	No     
Adenocarcinoma carcinomatosis                                                                                                 	423595004        	No     
Adenocarcinoma in adenomatous polyp                                                                                           	29421000119105   	No     
Adenocarcinoma in situ in villous adenoma                                                                                     	4935000          	No     
Adenocarcinoma in situ of cervix                                                                                              	254890008        	No     
Adenocarcinoma in villous adenoma                                                                                             	29431000119108   	No     
Adenocarcinoma of anus                                                                                                        	423607006        	No     
Adenocarcinoma of appendix                                                                                                    	413445002        	No     
Adenocarcinoma of bladder                                                                                                     	255110003        	No     
Adenocarcinoma of cecum                                                                                                       	413446001        	No     
Adenocarcinoma of cervix                                                                                                      	254887002        	No     
Adenocarcinoma of duodenum                                                                                                    	408644002        	No     
Adenocarcinoma of endometrium                                                                                                 	123845008        	No     
