Term                                                                        	Code             	Retired
Cancer en cuirasse                                                          	254841008        	No     
Carcinoma breast - lower, outer quadrant                                    	286896005        	No     
Carcinoma in situ of areola of female breast                                	92540005         	No     
Carcinoma in situ of areola of male breast                                  	92541009         	No     
Carcinoma in situ of axillary tail of female breast                         	92543007         	No     
Carcinoma in situ of breast                                                 	189336000        	No     
Carcinoma in situ of central portion of female breast                       	92562005         	No     
Carcinoma in situ of ectopic female breast tissue                           	92578007         	No     
Carcinoma in situ of ectopic male breast tissue                             	92579004         	No     
Carcinoma in situ of female breast                                          	92593006         	No     
Carcinoma in situ of lower inner quadrant of female breast                  	92646008         	No     
Carcinoma in situ of lower outer quadrant of female breast                  	92647004         	No     
Carcinoma in situ of male breast                                            	92652009         	No     
Carcinoma in situ of nipple of female breast                                	92665000         	No     
Carcinoma in situ of nipple of male breast                                  	92666004         	No     
Carcinoma in situ of other site of breast                                   	109890003        	No     
Carcinoma in situ of skin of breast                                         	92714001         	No     
Carcinoma in situ of upper inner quadrant of female breast                  	92777004         	No     
Carcinoma in situ of upper outer quadrant of female breast                  	92778009         	No     
Carcinoma of breast                                                         	254838004        	No     
Carcinoma of breast - axillary tail                                         	286897001        	No     
Carcinoma of breast - lower, inner quadrant                                 	286894008        	No     
Carcinoma of breast - upper, inner quadrant                                 	286893002        	No     
Carcinoma of breast - upper, outer quadrant                                 	286895009        	No     
Carcinoma of central portion of breast                                      	708921005        	No     
Carcinoma of female breast                                                  	447782002        	No     
Carcinoma of male breast                                                    	372096000        	No     
Carcinoma of salivary gland type of breast                                  	716593008        	No     
Familial cancer of breast                                                   	254843006        	No     
HER2-positive carcinoma of breast                                           	427685000        	No     
Hereditary breast and ovarian cancer syndrome                               	718220008        	No     
Hormone receptor positive malignant neoplasm of breast                      	417181009        	No     
Human epidermal growth factor 2 negative carcinoma of breast                	431396003        	No     
Infiltrating duct carcinoma of bilateral female breasts                     	15635761000119103	No     
Infiltrating duct carcinoma of breast                                       	408643008        	No     
Infiltrating duct carcinoma of female breast                                	448952004        	No     
Infiltrating duct carcinoma of left female breast                           	1080101000119105 	No     
Infiltrating duct carcinoma of right female breast                          	1080181000119102 	No     
Infiltrating ductal carcinoma of central portion of left female breast      	1080111000119108 	No     
