Term                                                                    	Code           	Retired
Adenocarcinoma of anus                                                  	423607006      	No     
Adenocarcinoma of cecum                                                 	413446001      	No     
Adenocarcinoma of large intestine                                       	408645001      	No     
Adenocarcinoma of rectosigmoid junction                                 	425178004      	No     
Adenocarcinoma of rectum                                                	254582000      	No     
Adenocarcinoma of sigmoid colon                                         	301756000      	No     
Anorectal adenocarcinoma                                                	447886005      	No     
Carcinoma of anal canal                                                 	285310000      	No     
Carcinoma of anus                                                       	448315008      	No     
Carcinoma of ascending colon                                            	312111009      	No     
Carcinoma of cecum                                                      	255081007      	No     
Carcinoma of colon                                                      	269533000      	No     
Carcinoma of descending colon                                           	312113007      	No     
Carcinoma of hepatic flexure                                            	312114001      	No     
Carcinoma of sigmoid colon                                              	285312008      	No     
Carcinoma of skin of anus                                               	449416001      	No     
Carcinoma of splenic flexure                                            	312115000      	No     
Carcinoma of the rectosigmoid junction                                  	269544008      	No     
Carcinoma of transverse colon                                           	312112002      	No     
Carcinoma of upper rectum                                               	448994001      	No     
HNPCC - hereditary nonpolyposis colon cancer                            	315058005      	No     
Local recurrence of malignant tumor of colon                            	314965007      	No     
Local recurrence of malignant tumor of rectum                           	314966008      	No     
Lymphoma of colon                                                       	133751000119102	No     
Lymphoma of sigmoid colon                                               	449218003      	No     
Malignant carcinoid tumor of ascending colon                            	123721000119108	No     
Malignant carcinoid tumor of cecum                                      	123731000119106	No     
Malignant carcinoid tumor of colon                                      	726654006      	No     
Malignant carcinoid tumor of descending colon                           	123701000119104	No     
Malignant carcinoid tumor of large intestine                            	123741000119102	No     
Malignant carcinoid tumor of rectum                                     	713573006      	No     
Malignant melanoma of anus                                              	276821000      	No     
Malignant melanoma of rectum                                            	276822007      	No     
Malignant melanoma of skin of anus                                      	447712006      	No     
Malignant neoplasm of anorectum                                         	443488001      	No     
Malignant neoplasm of rectosigmoid junction metastatic to brain         	96981000119102 	No     
Malignant neoplasm of rectum, rectosigmoid junction and anus            	187760008      	No     
Malignant neoplasm, overlapping lesion of colon                         	187757001      	No     
Malignant tumor involving rectum by direct extension from endometrium   	369448007      	No     
Malignant tumor involving rectum by direct extension from fallopian tube	369449004      	No     
