Term                                                                                                       	Code             	Retired
Absence deformity of leg and congenital cataract syndrome                                                  	716099003        	No     
Acquired anterior capsular pigmentation                                                                    	95720007         	No     
Adherent cataract                                                                                          	111000003        	No     
After-cataract                                                                                             	47337003         	No     
After-cataract not obscuring vision                                                                        	51044000         	No     
After-cataract of bilateral eyes                                                                           	15737281000119100	No     
After-cataract with vision obscured                                                                        	193615000        	No     
Age-related cataract                                                                                       	39450006         	No     
Age-related cataract of left eye                                                                           	10999321000119108	No     
Age-related cataract of right eye                                                                          	10999281000119103	No     
Age-related nuclear cataract of left eye                                                                   	678611000119102  	No     
Age-related nuclear cataract of right eye                                                                  	678621000119109  	No     
Anterior capsular lens opacities                                                                           	247055000        	No     
Anterior capsule opacification                                                                             	410568009        	No     
Anterior lens opacities                                                                                    	247054001        	No     
Anterior subcapsular cataract                                                                              	315352000        	No     
Anterior subcapsular cataract of bilateral eyes                                                            	15737801000119107	No     
Anterior subcapsular cataract of left eye                                                                  	15737841000119109	No     
Anterior subcapsular cataract of right eye                                                                 	15737761000119104	No     
Anterior subcapsular lens opacities                                                                        	247056004        	No     
Anterior subcapsular polar cataract                                                                        	1412008          	No     
Anterior subcapsular polar cataract of left eye                                                            	15737641000119108	No     
Anterior subcapsular polar cataract of right eye                                                           	15737721000119109	No     
Anterior subcapsular polar senile cataract                                                                 	111515007        	No     
Aspiration of cataract                                                                                     	112963003        	No     
Aspiration of cataract by phacoemulsification                                                              	84149000         	No     
Atopic cataract                                                                                            	2951009          	No     
Autosomal dominant optic atrophy and cataract                                                              	719517009        	No     
Axial cataract                                                                                             	110998005        	No     
Bilateral after-cataract not obscuring vision                                                              	15737161000119103	No     
Bilateral age-related cataract                                                                             	10999361000119103	No     
Bilateral age-related nuclear cataracts                                                                    	678601000119100  	No     
Bilateral cataracts                                                                                        	95722004         	No     
Bilateral extraction of cataracts                                                                          	28070001000004105	No     
Bilateral incipient cataracts                                                                              	678671000119105  	No     
Bimanual microincisional phacoemulsification of cataract with intraocular lens implantation                	419767009        	No     
Bimanual phacoemulsification                                                                               	420260004        	No     
Bimanual phacoemulsification of cataract with intraocular lens implantation                                	418430006        	No     
Calcified cataract                                                                                         	10970008         	No     
Capsular and/or subcapsular cataract                                                                       	204124004        	No     
Capsular cataract                                                                                          	204125003        	No     
Cardiomyopathy with cataract and hip spine disease syndrome                                                	720609003        	No     
Cataract                                                                                                   	193570009        	No     
Cataract and microcornea syndrome                                                                          	722382006        	No     
Cataract associated with infrared radiation                                                                	416071001        	No     
Cataract associated with radiation                                                                         	71044004         	No     
Cataract due to idiopathic hypoparathyroidism                                                              	717893006        	No     
Cataract due to pseudohypoparathyroidism                                                                   	717894000        	No     
Cataract extraction and insertion of intraocular lens                                                      	385468004        	No     
Cataract extraction, insertion of intraocular lens and trabeculectomy                                      	231744001        	No     
Cataract finding                                                                                           	247052002        	No     
Cataract following rupture of capsule                                                                      	231968003        	No     
Cataract form - finding                                                                                    	366035000        	No     
Cataract glaucoma syndrome                                                                                 	718851007        	No     
Cataract in degenerative disorder                                                                          	21818003         	No     
Cataract in eye inflammatory disorder                                                                      	193602009        	No     
