Term                                                                                                            	Code             	Retired
Accidental coumarin overdose                                                                                    	296931004        	No     
Accidental heparin overdose                                                                                     	296927005        	No     
Accidental warfarin overdose                                                                                    	296934007        	No     
Acquired afibrinogenemia                                                                                        	359730001        	No     
Acquired coagulation disorder                                                                                   	234466008        	No     
Acquired coagulation factor deficiency                                                                          	25904003         	No     
Acquired coagulation factor inhibitor disorder                                                                  	64509006         	No     
Acquired combined coagulation factor deficiency                                                                 	439156006        	No     
Acquired factor II deficiency                                                                                   	191298004        	No     
Acquired factor IX deficiency disease                                                                           	12153008         	No     
Acquired factor V deficiency disease                                                                            	35913006         	No     
Acquired factor VII deficiency disease                                                                          	2036003          	No     
Acquired factor VIII deficiency disease                                                                         	14230004         	No     
Acquired factor X deficiency disease                                                                            	33820001         	No     
Acquired factor XI deficiency disease                                                                           	35554008         	No     
Acquired factor XII deficiency disease                                                                          	15132005         	No     
Acquired factor XIII deficiency disease                                                                         	6364000          	No     
Acquired fibrinogen abnormality                                                                                 	234462005        	No     
Acquired hypofibrinogenemia                                                                                     	359723007        	No     
Acquired hypoplasminogenemia                                                                                    	95843009         	No     
Acquired hypoprothrombinemia                                                                                    	4152002          	No     
Acquired inhibitor of coagulation                                                                               	282707003        	No     
Acquired pancytopenia                                                                                           	5876000          	No     
Acquired purpura fulminans                                                                                      	725157006        	No     
Acquired thrombocytopenia                                                                                       	74576004         	No     
Acquired thrombotic thrombocytopenic purpura                                                                    	439007008        	No     
Acquired von Willebrand's disease                                                                               	234451005        	No     
Acute idiopathic thrombocytopenic purpura                                                                       	28505005         	No     
Afibrinogenemia                                                                                                 	278504009        	No     
Afibrinogenemia - postpartum                                                                                    	237337003        	No     
Afibrinogenemia following molar AND/OR ectopic pregnancy                                                        	85796009         	No     
Alloimmune platelet transfusion refractoriness                                                                  	128094006        	No     
Alloimmune thrombocytopenia                                                                                     	128093000        	No     
Alpha chain defect dysfibrinogenemia                                                                            	234459007        	No     
Alpha-2-antiplasmin deficiency                                                                                  	234465007        	No     
Amegakaryocytic thrombocytopenia                                                                                	234482009        	No     
