Term                                                                                                                                                                                                                                     	Code           	Retired
3C syndrome                                                                                                                                                                                                                              	718556007      	No     
Abdominal heart                                                                                                                                                                                                                          	14886009       	No     
Aberrant course of coronary artery between aorta and pulmonary trunk                                                                                                                                                                     	448114001      	No     
Aberrant course of left anterior descending coronary artery from right coronary artery crossing right ventricular outflow tract                                                                                                          	253716004      	No     
Abnormal atrial arrangement                                                                                                                                                                                                              	445898001      	No     
Abnormal atrioventricular connection                                                                                                                                                                                                     	253274005      	No     
Abnormal atrioventricular connection - biventricular                                                                                                                                                                                     	253275006      	No     
Abnormal atrioventricular connection - univentricular                                                                                                                                                                                    	253280002      	No     
Abnormal attachment of tricuspid chordae tendinae                                                                                                                                                                                        	449455000      	No     
Abnormal connection of hepatic vein to atrium                                                                                                                                                                                            	253333008      	No     
Abnormal coronary artery course                                                                                                                                                                                                          	253714001      	No     
Abnormal number of aortic valve cusps                                                                                                                                                                                                    	253609009      	No     
Abnormal number of cusps                                                                                                                                                                                                                 	29375001       	No     
Abnormal number of leaflets                                                                                                                                                                                                              	37171002       	No     
Abnormal number of pulmonary valve cusps                                                                                                                                                                                                 	302943003      	No     
Abnormal origin of arterial duct                                                                                                                                                                                                         	253687009      	No     
Abnormal origin of left pulmonary artery                                                                                                                                                                                                 	253635005      	No     
Abnormal origin of right pulmonary artery                                                                                                                                                                                                	253632008      	No     
Abnormal position of cardiac valve                                                                                                                                                                                                       	36133000       	No     
Abnormal relationship of aortic orifice to pulmonary orifice                                                                                                                                                                             	253270001      	No     
Abnormal relationship of right ventricle to left ventricle                                                                                                                                                                               	253268005      	No     
Abnormal ventriculoarterial connection                                                                                                                                                                                                   	253295000      	No     
Abnormal ventriculoarterial connection with usual origin of left coronary artery from aortic sinus to right of nonfacing aortic sinus and usual origin of right coronary artery from aortic sinus to left of nonfacing aortic sinus      	472820000      	No     
Absence of mitral chordae tendinae                                                                                                                                                                                                       	449005003      	No     
Absence of primary mitral chordae tendinae                                                                                                                                                                                               	449563001      	No     
Absence of pulmonary valve cusp                                                                                                                                                                                                          	449133000      	No     
Absent aortic valve cusp                                                                                                                                                                                                                 	448634001      	No     
Absent atrioventricular connection with straddling valve                                                                                                                                                                                 	253279000      	No     
Absent left sided atrioventricular connection                                                                                                                                                                                            	253290005      	No     
Absent mitral papillary muscle                                                                                                                                                                                                           	253411005      	No     
Absent pulmonary trunk                                                                                                                                                                                                                   	448084009      	No     
Absent pulmonary valve syndrome                                                                                                                                                                                                          	253596003      	No     
Absent pulmonary valve syndrome with ventricular septal defect of non Fallot type                                                                                                                                                        	448475002      	No     
Absent right sided atrioventricular connection                                                                                                                                                                                           	253285007      	No     
Absent tricuspid leaflet                                                                                                                                                                                                                 	253381001      	No     
Absent tricuspid papillary muscle                                                                                                                                                                                                        	253392000      	No     
Absent venous duct                                                                                                                                                                                                                       	448635000      	No     
Absent venous duct with direct connection of umbilical vein to inferior caval vein                                                                                                                                                       	449527001      	No     
Absent venous duct with direct connection of umbilical vein to renal vein                                                                                                                                                                	449486006      	No     
Absent venous duct with direct connection of umbilical vein to right atrium                                                                                                                                                              	449439007      	No     
Acardia                                                                                                                                                                                                                                  	205834002      	No     
Acardiacus anceps                                                                                                                                                                                                                        	4313003        	No     
Acardius                                                                                                                                                                                                                                 	84648007       	No     
Accessory tissue on aortic valve cusp                                                                                                                                                                                                    	253608001      	No     
