Term                                                                                      	Code             	Retired
Acute deep vein thrombosis of bilateral lower limbs following coronary artery bypass graft	15711361000119101	No     
Acute deep vein thrombosis of left upper limb following coronary artery bypass graft      	15708441000119103	No     
Acute deep vein thrombosis of lower limb                                                  	651000119108     	No     
Acute deep vein thrombosis of right upper limb following coronary artery bypass graft     	15708281000119109	No     
Acute deep venous thrombosis                                                              	132281000119108  	No     
Acute deep venous thrombosis of axillary vein                                             	134961000119104  	No     
Acute deep venous thrombosis of bilateral axillary veins                                  	285321000119103  	No     
Acute deep venous thrombosis of bilateral calves                                          	12237551000119104	No     
Acute deep venous thrombosis of bilateral ileofemoral veins                               	285441000119102  	No     
Acute deep venous thrombosis of bilateral legs                                            	350291000119100  	No     
Acute deep venous thrombosis of bilateral popliteal veins                                 	285561000119102  	No     
Acute deep venous thrombosis of bilateral tibial veins                                    	285621000119106  	No     
Acute deep venous thrombosis of both upper extremities                                    	285261000119104  	No     
Acute deep venous thrombosis of calf                                                      	132241000119103  	No     
Acute deep venous thrombosis of femoral vein                                              	132291000119106  	No     
Acute deep venous thrombosis of ileofemoral vein of left leg                              	285451000119100  	No     
Acute deep venous thrombosis of ileofemoral vein of right lower extremity                 	285461000119103  	No     
Acute deep venous thrombosis of iliofemoral vein                                          	132301000119107  	No     
Acute deep venous thrombosis of left axillary vein                                        	285331000119100  	No     
Acute deep venous thrombosis of left calf                                                 	12237631000119109	No     
Acute deep venous thrombosis of left femoral vein                                         	285391000119101  	No     
Acute deep venous thrombosis of left lower extremity                                      	350301000119104  	No     
Acute deep venous thrombosis of left upper extremity                                      	285271000119105  	No     
Acute deep venous thrombosis of lower extremity as complication of procedure              	136781000119101  	No     
Acute deep venous thrombosis of lower limb due to coronary artery bypass grafting         	132111000119107  	No     
Acute deep venous thrombosis of politeal vein of right leg                                	285581000119106  	No     
Acute deep venous thrombosis of popliteal vein                                            	132251000119101  	No     
Acute deep venous thrombosis of popliteal vein of left leg                                	285571000119108  	No     
Acute deep venous thrombosis of right axillary vein                                       	285341000119109  	No     
Acute deep venous thrombosis of right calf                                                	12237711000119106	No     
Acute deep venous thrombosis of right femoral vein                                        	285401000119104  	No     
Acute deep venous thrombosis of right lower extremity                                     	350311000119101  	No     
Acute deep venous thrombosis of right upper extremity                                     	285281000119108  	No     
Acute deep venous thrombosis of thigh                                                     	132271000119105  	No     
Acute deep venous thrombosis of tibial vein                                               	132261000119104  	No     
Acute deep venous thrombosis of tibial vein of left leg                                   	285631000119109  	No     
Acute deep venous thrombosis of tibial vein of right leg                                  	285641000119100  	No     
Acute deep venous thrombosis of upper extremity                                           	132321000119103  	No     
Acute deep venous thrombosis of upper extremity after coronary artery bypass graft        	449691000124103  	No     
Acute deep venous thrombosis of upper extremity as complication of procedure              	136771000119104  	No     
Antenatal deep vein thrombosis - delivered                                                	200232006        	No     
Antenatal deep vein thrombosis with antenatal complication                                	200233001        	No     
Antepartum deep vein thrombosis                                                           	49956009         	No     
Axillary vein thrombosis                                                                  	297156001        	No     
Bilateral acute deep vein thrombosis of femoral veins                                     	285381000119104  	No     
Bilateral chronic deep venous thrombosis of lower extremities                             	350321000119108  	No     
Bilateral deep vein thrombosis of lower extremities                                       	444325005        	No     
Chronic deep vein thrombosis of bilateral iliac veins                                     	293441000119104  	No     
Chronic deep vein thrombosis of left pelvic vein                                          	15711001000119104	No     
Chronic deep vein thrombosis of left upper limb following procedure                       	15708521000119108	No     
Chronic deep vein thrombosis of pelvic vein                                               	709687000        	No     
Chronic deep vein thrombosis of right axillary vein                                       	285371000119102  	No     
Chronic deep vein thrombosis of right pelvic vein                                         	15711081000119107	No     
Chronic deep vein thrombosis of right upper extremity                                     	285311000119105  	No     
Chronic deep vein thrombosis of right upper limb following procedure                      	15708481000119108	No     
Chronic deep venous thrombosis                                                            	15760351000119105	No     
Chronic deep venous thrombosis of axillary vein                                           	134971000119105  	No     
Chronic deep venous thrombosis of bilateral axillary veins                                	285351000119106  	No     
Chronic deep venous thrombosis of bilateral calves                                        	15711441000119107	No     
Chronic deep venous thrombosis of bilateral ileofemoral veins                             	285471000119109  	No     
Chronic deep venous thrombosis of bilateral popliteal veins                               	285591000119109  	No     
Chronic deep venous thrombosis of bilateral thighs                                        	15711601000119107	No     
Chronic deep venous thrombosis of both upper extremities                                  	285291000119106  	No     
Chronic deep venous thrombosis of calf                                                    	132131000119102  	No     
Chronic deep venous thrombosis of femoral vein                                            	132191000119103  	No     
Chronic deep venous thrombosis of femoral vein of left lower extremity                    	285421000119108  	No     
Chronic deep venous thrombosis of femoral vein of right lower extremity                   	285431000119106  	No     
Chronic deep venous thrombosis of femoral veins of both lower extremities                 	285411000119101  	No     
Chronic deep venous thrombosis of iliofemoral vein                                        	132201000119100  	No     
Chronic deep venous thrombosis of left axillary vein                                      	285361000119108  	No     
Chronic deep venous thrombosis of left calf                                               	15711521000119102	No     
