Term                                                                               	Code             	Retired
Acute depression                                                                   	712823008        	No     
Agitated depression                                                                	83458005         	No     
Atypical depressive disorder                                                       	191659001        	No     
Bipolar affective disorder, current episode depression                             	191627008        	No     
Bipolar affective disorder, currently depressed, in full remission                 	191634005        	No     
Bipolar affective disorder, currently depressed, mild                              	191629006        	No     
Bipolar affective disorder, currently depressed, moderate                          	191630001        	No     
Bipolar affective disorder, currently depressed, severe, with psychosis            	191632009        	No     
Bipolar I disorder, most recent episode depressed with atypical features           	29929003         	No     
Bipolar I disorder, most recent episode depressed with melancholic features        	75752004         	No     
Bipolar II disorder, most recent episode major depressive                          	16295005         	No     
Bipolar II disorder, most recent episode major depressive with atypical features   	43568002         	No     
Bipolar II disorder, most recent episode major depressive with catatonic features  	22407005         	No     
Bipolar II disorder, most recent episode major depressive with melancholic features	34315001         	No     
Bipolar II disorder, most recent episode major depressive with postpartum onset    	30687003         	No     
Chronic bipolar I disorder, most recent episode depressed                          	51637008         	No     
Chronic bipolar II disorder, most recent episode major depressive                  	1196001          	No     
Chronic depression                                                                 	192080009        	No     
Chronic depressive personality disorder                                            	442057004        	No     
Chronic major depressive disorder, single episode                                  	14183003         	No     
Chronic recurrent major depressive disorder                                        	2618002          	No     
Cotard's syndrome                                                                  	357705009        	No     
Depressed bipolar I disorder                                                       	49468007         	No     
Depressed bipolar I disorder in full remission                                     	22121000         	No     
Depressed bipolar I disorder in partial remission                                  	49512000         	No     
Depressed bipolar I disorder in remission                                          	53607008         	No     
Depressive conduct disorder                                                        	231542000        	No     
Depressive disorder                                                                	35489007         	No     
Depressive disorder in mother complicating childbirth                              	10835871000119104	No     
Depressive disorder in mother complicating pregnancy                               	94631000119100   	No     
Depressive disorder in remission                                                   	698957003        	No     
Drug-induced depressive state                                                      	191495003        	No     
Dysthymia                                                                          	78667006         	No     
Early onset dysthymia                                                              	2506003          	No     
Endogenous depression                                                              	300706003        	No     
Endogenous depression - recurrent                                                  	274948002        	No     
Endogenous depression first episode                                                	231499006        	No     
Generalized neuromuscular exhaustion syndrome                                      	87842000         	No     
H/O: depression                                                                    	161469008        	No     
Involutional depression                                                            	321717001        	No     
Late onset dysthymia                                                               	19694002         	No     
Major depression in full remission                                                 	63412003         	No     
Major depression in partial remission                                              	30605009         	No     
Major depression in remission                                                      	42810003         	No     
Major depression single episode, in partial remission                              	70747007         	No     
