Term                                                                                                            	Code             	Retired
17q11.2 microduplication syndrome                                                                               	719583002        	No     
19q13.11 microdeletion syndrome                                                                                 	719599008        	No     
1p21.3 microdeletion syndrome                                                                                   	719600006        	No     
5-amino-4-imidazole carboxamide ribosiduria                                                                     	725289009        	No     
Achalasia microcephaly syndrome                                                                                 	718573009        	No     
Active but odd autism                                                                                           	442314000        	No     
Active infantile autism                                                                                         	191689008        	No     
Agammaglobulinemia, microcephaly, craniosynostosis, severe dermatitis syndrome                                  	722281001        	No     
Agenesis of corpus callosum, intellectual disability, coloboma, micrognathia syndrome                           	722282008        	No     
Alopecia and intellectual disability with hypergonadotropic hypogonadism syndrome                               	720981000        	No     
Alopecia, contracture, dwarfism, intellectual disability syndrome                                               	720979002        	No     
Alport syndrome, intellectual disability, midface hypoplasia, elliptocytosis syndrome                           	720982007        	No     
Aniridia and intellectual disability syndrome                                                                   	720468000        	No     
Aniridia, renal agenesis, psychomotor retardation syndrome                                                      	733116005        	No     
Apraxia, developmental                                                                                          	275271004        	No     
Arachnodactyly and intellectual disability with facial dysmorphism syndrome                                     	720502000        	No     
Arachnodactyly with abnormal ossification and intellectual disability syndrome                                  	720501007        	No     
Articulation disorder due to hyperkinesis                                                                       	427145007        	No     
Articulatory dyspraxia                                                                                          	229698003        	No     
Asperger's disorder                                                                                             	23560001         	No     
Ataxia with deafness and intellectual disability syndrome                                                       	720517001        	No     
Atypical autism                                                                                                 	231536004        	No     
Atypical Rett syndrome                                                                                          	718393002        	No     
Autism and facial port-wine stain syndrome                                                                      	722287002        	No     
Autism spectrum disorder                                                                                        	35919005         	No     
Autism spectrum disorder, epilepsy, arthrogryposis syndrome                                                     	733623005        	No     
Autistic disorder                                                                                               	408856003        	No     
Autistic disorder of childhood onset                                                                            	43614003         	No     
Autistic spectrum disorder with isolated skills                                                                 	373618009        	No     
Bardet-Biedl syndrome                                                                                           	5619004          	No     
Blepharonasofacial malformation syndrome                                                                        	717913006        	No     
Bohring Opitz syndrome                                                                                          	720565000        	No     
Borderline cognitive developmental delay                                                                        	18541000119100   	No     
Borderline mental retardation (I.Q. 70-85)                                                                      	77287004         	No     
Borjeson-Forssman-Lehmann syndrome                                                                              	21634003         	No     
Brachydactyly and preaxial hallux varus syndrome                                                                	732957009        	No     
Branchial dysplasia, intellectual disability, inguinal hernia syndrome                                          	732961003        	No     
BRESEK syndrome                                                                                                 	717945001        	No     
BSG syndrome                                                                                                    	719097002        	No     
Bullous dystrophy macular type                                                                                  	725589005        	No     
C syndrome                                                                                                      	715409005        	No     
CAMOS syndrome                                                                                                  	726031001        	No     
Cardiocranial syndrome Pfeiffer type                                                                            	720606005        	No     
