Term                                                                                                                                   	Code              	Retired
Abnormal metabolic state in diabetes mellitus                                                                                          	237620003         	No     
Acidosis due to type 1 diabetes mellitus                                                                                               	721283000         	No     
Acidosis due to type 2 diabetes mellitus                                                                                               	721284006         	No     
Acute painful diabetic neuropathy                                                                                                      	193183000         	No     
Advanced diabetic maculopathy                                                                                                          	193350004         	No     
Advanced diabetic retinal disease                                                                                                      	311782002         	No     
Amyotrophy due to type 1 diabetes mellitus                                                                                             	427571000         	No     
Amyotrophy due to type 2 diabetes mellitus                                                                                             	427027005         	No     
Anemia of diabetes                                                                                                                     	82980005          	No     
Angina associated with type 2 diabetes mellitus                                                                                        	791000119109      	No     
Ankle ulcer due to type 1 diabetes mellitus                                                                                            	87471000119106    	No     
Ankle ulcer due to type 2 diabetes mellitus                                                                                            	87441000119104    	No     
Armanni-Ebstein kidney                                                                                                                 	110996009         	No     
Asymmetric diabetic proximal motor neuropathy                                                                                          	79554005          	No     
Asymptomatic diabetic neuropathy                                                                                                       	193185007         	No     
Atherosclerosis, deafness, diabetes, epilepsy, nephropathy syndrome                                                                    	720519003         	No     
Atypical diabetes mellitus                                                                                                             	530558861000132104	No     
Blindness due to type 1 diabetes mellitus                                                                                              	60991000119100    	No     
Blindness due to type 2 diabetes mellitus                                                                                              	60951000119105    	No     
Bullosis diabeticorum                                                                                                                  	48951005          	No     
Cellulitis in diabetic foot                                                                                                            	200687002         	No     
Cheiropathy due to type 2 diabetes mellitus                                                                                            	368591000119109   	No     
Chronic kidney disease due to type 1 diabetes mellitus                                                                                 	96441000119101    	No     
Chronic kidney disease due to type 2 diabetes mellitus                                                                                 	771000119108      	No     
Chronic kidney disease stage 1 due to type 1 diabetes mellitus                                                                         	90721000119101    	No     
Chronic kidney disease stage 1 due to type 2 diabetes mellitus                                                                         	751000119104      	No     
Chronic kidney disease stage 2 due to type 1 diabetes mellitus                                                                         	90731000119103    	No     
Chronic kidney disease stage 2 due to type 2 diabetes mellitus                                                                         	741000119101      	No     
Chronic kidney disease stage 3 due to type 1 diabetes mellitus                                                                         	90741000119107    	No     
Chronic kidney disease stage 3 due to type 2 diabetes mellitus                                                                         	731000119105      	No     
Chronic kidney disease stage 4 due to type 1 diabetes mellitus                                                                         	90751000119109    	No     
Chronic kidney disease stage 4 due to type 2 diabetes mellitus                                                                         	721000119107      	No     
Chronic kidney disease stage 5 due to type 1 diabetes mellitus                                                                         	90761000119106    	No     
Chronic kidney disease stage 5 due to type 2 diabetes mellitus                                                                         	711000119100      	No     
Chronic painful diabetic neuropathy                                                                                                    	193184006         	No     
Chronic ulcer of skin due to type 1 diabetes mellitus                                                                                  	72141000119104    	No     
Coma associated with diabetes mellitus                                                                                                 	420662003         	No     
