Term                                                                                                                                          	Code             	Retired
Abduction deformity of finger                                                                                                                 	240239004        	No     
Aberrant intrinsic muscles of hand                                                                                                            	271542005        	No     
Abnormal palmar creases                                                                                                                       	205557000        	No     
Abrasion and/or friction burn of elbow with infection                                                                                         	111712008        	No     
Abrasion and/or friction burn of elbow without infection                                                                                      	68058009         	No     
Abrasion and/or friction burn of finger without infection                                                                                     	70098006         	No     
Abrasion and/or friction burn of finger, infected                                                                                             	211320007        	No     
Abrasion and/or friction burn of forearm, infected                                                                                            	211256008        	No     
Abrasion and/or friction burn of forearm, without infection                                                                                   	211250002        	No     
Abrasion and/or friction burn of hand without infection                                                                                       	40762003         	No     
Abrasion and/or friction burn of hand, infected                                                                                               	211306000        	No     
Abrasion and/or friction burn of wrist with infection                                                                                         	63848007         	No     
Abrasion and/or friction burn of wrist without infection                                                                                      	23072002         	No     
Abrasion hand, palm                                                                                                                           	211304002        	No     
Abrasion of elbow, infected                                                                                                                   	211257004        	No     
Abrasion of finger                                                                                                                            	211317004        	No     
Abrasion of forearm, infected                                                                                                                 	211258009        	No     
Abrasion of hand                                                                                                                              	283059006        	No     
Abrasion of left forearm                                                                                                                      	11779721000119102	No     
Abrasion of right forearm                                                                                                                     	11779681000119108	No     
Abrasion of wrist                                                                                                                             	283058003        	No     
Abrasion of wrist, infected                                                                                                                   	211259001        	No     
Abrasion wrist, dorsum                                                                                                                        	211254006        	No     
Abrasion wrist, volar                                                                                                                         	211253000        	No     
Abrasion, elbow area                                                                                                                          	211251003        	No     
Abrasion, finger, multiple                                                                                                                    	211319001        	No     
Abrasion, forearm area                                                                                                                        	211252005        	No     
Abrasion, hand, dorsum                                                                                                                        	211305001        	No     
Abrasion, thumb                                                                                                                               	211318009        	No     
Abscess of bursa of elbow                                                                                                                     	202996008        	No     
Abscess of bursa of hand                                                                                                                      	295131000119103  	No     
Abscess of bursa of left elbow                                                                                                                	301411000119109  	No     
