Term                                                                                                            	Code             	Retired
Acquired hemolytic anemia co-occurrent with human immunodeficiency virus infection                              	713533000        	No     
Acquired immune deficiency syndrome complicating childbirth                                                     	10746341000119109	No     
Acquired immune deficiency syndrome-related nephropathy                                                         	236406007        	No     
Acute endocarditis co-occurrent with human immunodeficiency virus infection                                     	713511002        	No     
Acute HIV infection                                                                                             	111880001        	No     
Agranulocytosis co-occurrent with human immunodeficiency virus infection                                        	713530002        	No     
AIDS                                                                                                            	62479008         	No     
AIDS virus infection associated with pregnancy                                                                  	91923005         	No     
Anemia co-occurrent with human immunodeficiency virus infection                                                 	713349004        	No     
Aplastic anemia co-occurrent with human immunodeficiency virus infection                                        	713508003        	No     
Aspergillosis co-occurrent with human immunodeficiency virus infection                                          	713732008        	No     
Asymptomatic human immunodeficiency virus infection                                                             	91947003         	No     
Asymptomatic human immunodeficiency virus infection in pregnancy                                                	91948008         	No     
Bacterial pneumonia co-occurrent with human immunodeficiency virus infection                                    	713544008        	No     
Burkitt lymphoma co-occurrent with human immunodeficiency virus infection                                       	713897006        	No     
Candidiasis of esophagus co-occurrent with human immunodeficiency virus infection                               	713297001        	No     
Candidiasis of mouth co-occurrent with human immunodeficiency virus infection                                   	713497004        	No     
Candidiasis of upper respiratory tract co-occurrent with human immunodeficiency virus infection                 	719522009        	No     
Cardiomyopathy co-occurrent with human immunodeficiency virus infection                                         	713523008        	No     
Chronic infection caused by herpes simplex virus co-occurrent with human immunodeficiency virus infection       	713446007        	No     
Coccidiosis co-occurrent with human immunodeficiency virus infection                                            	713729005        	No     
Congenital acquired immune deficiency syndrome                                                                  	276665006        	No     
Congenital human immunodeficiency virus infection                                                               	52079000         	No     
Dementia co-occurrent with human immunodeficiency virus infection                                               	713844000        	No     
Demyelinating disease of central nervous system co-occurrent with human immunodeficiency virus infection        	713543002        	No     
Dermatophytosis co-occurrent with human immunodeficiency virus infection                                        	713734009        	No     
Diffuse non-Hodgkin immunoblastic lymphoma co-occurrent with human immunodeficiency virus infection             	713718006        	No     
Disorder of central nervous system co-occurrent with human immunodeficiency virus infection                     	713571008        	No     
Disorder of eye proper co-occurrent with human immunodeficiency virus infection                                 	713299003        	No     
Disorder of gastrointestinal tract co-occurrent with human immunodeficiency virus infection                     	713300006        	No     
Disorder of kidney co-occurrent with human immunodeficiency virus infection                                     	713504001        	No     
Disorder of peripheral nervous system co-occurrent with human immunodeficiency virus infection                  	713527009        	No     
Disorder of respiratory system co-occurrent with human immunodeficiency virus infection                         	713484001        	No     
Disorder of skin co-occurrent with human immunodeficiency virus infection                                       	713340000        	No     
Disorder of spinal cord co-occurrent with human immunodeficiency virus infection                                	713503007        	No     
Disseminated atypical infection caused by Mycobacterium co-occurrent with human immunodeficiency virus infection	713967004        	No     
Disseminated infection caused by Strongyloides co-occurrent with human immunodeficiency virus infection         	713445006        	No     
Enlargement of liver co-occurrent with human immunodeficiency virus infection                                   	713510001        	No     
Eruption of skin co-occurrent with human immunodeficiency virus infection                                       	713316008        	No     
Extrapulmonary tuberculosis co-occurrent with human immunodeficiency virus infection                            	733835007        	No     
Focal segmental glomerulosclerosis co-occurrent with human immunodeficiency virus infection                     	713887002        	No     
Gastrointestinal malabsorption syndrome co-occurrent with human immunodeficiency virus infection                	713505000        	No     
Hairy leukoplakia of tongue associated with HIV disease                                                         	414376003        	No     
Heart disease co-occurrent with human immunodeficiency virus infection                                          	713298006        	No     
Hemophagocytic syndrome co-occurrent with human immunodeficiency virus infection                                	713444005        	No     
HIV CDC category A1                                                                                             	103406000        	No     
HIV CDC category A2                                                                                             	103407009        	No     
HIV CDC category A3 (AIDS)                                                                                      	103408004        	No     
HIV CDC category B1                                                                                             	103409007        	No     
HIV CDC category B2                                                                                             	103410002        	No     
HIV CDC category B3 (AIDS)                                                                                      	103411003        	No     
HIV CDC category C1 (AIDS)                                                                                      	103412005        	No     
