Term                                                                                                                          	Code           	Retired
Accelerated phase chronic myeloid leukemia                                                                                    	413389003      	No     
Acute biphenotypic leukemia                                                                                                   	278453007      	No     
Acute eosinophilic leukemia                                                                                                   	277604002      	No     
Acute leukemia                                                                                                                	91855006       	No     
Acute leukemia in remission                                                                                                   	91854005       	No     
Acute leukemia of ambiguous lineage                                                                                           	721308005      	No     
Acute lymphoblastic leukemia, transitional pre-B-cell                                                                         	371012000      	No     
Acute lymphoid leukemia                                                                                                       	91857003       	No     
Acute lymphoid leukemia in remission                                                                                          	91856007       	No     
Acute lymphoid leukemia relapse                                                                                               	12301000132103 	No     
Acute megakaryoblastic leukemia                                                                                               	277602003      	No     
Acute monoblastic leukemia                                                                                                    	277601005      	No     
Acute monoblastic leukemia in remission                                                                                       	698646006      	No     
Acute monocytic leukemia                                                                                                      	413441006      	No     
Acute monocytic leukemia in remission                                                                                         	91858008       	No     
Acute monocytic/monoblastic leukemia                                                                                          	413442004      	No     
Acute myeloid leukemia due to recurrent genetic abnormality                                                                   	721305008      	No     
Acute myeloid leukemia in remission                                                                                           	91860005       	No     
Acute myeloid leukemia with maturation, FAB M2                                                                                	359648001      	No     
Acute myeloid leukemia with maturation, FAB M2, in remission                                                                  	426124006      	No     
Acute myeloid leukemia with myelodysplasia-related changes                                                                    	445448008      	No     
Acute myeloid leukemia with t(6;9)(p23;q34) translocation                                                                     	733598001      	No     
Acute myeloid leukemia with t(8;16)(p11;p13) translocation                                                                    	725390002      	No     
Acute myeloid leukemia with t(9:11)(p22;q23); MLLT3-MLL                                                                       	444911000      	No     
Acute myeloid leukemia without maturation, FAB M1                                                                             	359640008      	No     
Acute myeloid leukemia without maturation, FAB M1 in remission                                                                	61321000119106 	No     
Acute myeloid leukemia, disease                                                                                               	91861009       	No     
Acute myeloid leukemia, minimal differentiation, FAB M0                                                                       	359631009      	No     
Acute myeloid leukemia, minimal differentiation, FAB M0 in remission                                                          	61311000119104 	No     
Acute myelomonocytic leukemia - eosinophilic variant                                                                          	285839005      	No     
Acute myelomonocytic leukemia, FAB M4                                                                                         	110005000      	No     
Acute myelomonocytic leukemia, FAB M4, in remission                                                                           	427658007      	No     
Acute panmyelosis with myelofibrosis                                                                                          	109991003      	No     
Acute promyelocytic leukemia - hypogranular variant                                                                           	285769009      	No     
Acute promyelocytic leukemia, FAB M3                                                                                          	110004001      	No     
Acute promyelocytic leukemia, FAB M3, in remission                                                                            	425869007      	No     
Adult T-cell leukemia                                                                                                         	188729005      	No     
Adult T-cell leukemia/lymphoma                                                                                                	110007008      	No     
Adult T-cell leukemia/lymphoma of skin                                                                                        	721762007      	No     
African Burkitt's lymphoma                                                                                                    	240531002      	No     
Aggressive natural killer-cell leukemia                                                                                       	721310007      	No     
Aggressive NK-cell leukemia involving skin                                                                                    	404136008      	No     
Aleukemic leukemia                                                                                                            	302856006      	No     
Aleukemic leukemia in remission                                                                                               	426217000      	No     
Aleukemic lymphoid leukemia                                                                                                   	188728002      	No     
Aleukemic lymphoid leukemia in remission                                                                                      	426248008      	No     
Aleukemic monocytic leukemia                                                                                                  	188748009      	No     
Aleukemic myeloid leukemia                                                                                                    	188741003      	No     
