Term                                                                                                                                                                                               	Code            	Retired
Acral lentiginous malignant melanoma of skin                                                                                                                                                       	254732008       	No     
Acral lentiginous melanoma, malignant                                                                                                                                                              	16974005        	No     
Amelanotic malignant melanoma of skin                                                                                                                                                              	276751004       	No     
Amelanotic melanoma                                                                                                                                                                                	70594002        	No     
Balloon cell malignant melanoma                                                                                                                                                                    	403922007       	No     
Balloon cell melanoma                                                                                                                                                                              	39274007        	No     
Blue nevus, malignant                                                                                                                                                                              	67159000        	No     
Borderline malignant melanoma                                                                                                                                                                      	403921000       	No     
Choroidal melanoma, diffuse                                                                                                                                                                        	399634005       	No     
Clark melanoma level 1                                                                                                                                                                             	83284001        	No     
Clark melanoma level 2                                                                                                                                                                             	50542000        	No     
Clark melanoma level 3                                                                                                                                                                             	21165006        	No     
Clark melanoma level 4                                                                                                                                                                             	1556006         	No     
Clark melanoma level 5                                                                                                                                                                             	16034002        	No     
Clark melanoma level finding                                                                                                                                                                       	385347004       	No     
Clear cell sarcoma                                                                                                                                                                                 	271944004       	No     
Clear cell sarcoma (except of Kidney M-89643)                                                                                                                                                      	12622007        	No     
Congenital malignant melanoma                                                                                                                                                                      	402559007       	No     
Desmoplastic malignant melanoma                                                                                                                                                                    	403924008       	No     
Desmoplastic melanoma, malignant                                                                                                                                                                   	51757004        	No     
Donor derived melanoma                                                                                                                                                                             	720587009       	No     
Epithelioid cell melanoma                                                                                                                                                                          	37138001        	No     
Familial malignant melanoma of skin                                                                                                                                                                	726019003       	No     
H/O Malignant melanoma                                                                                                                                                                             	161432005       	No     
History of malignant melanoma of eye                                                                                                                                                               	115561000119102 	No     
History of malignant melanoma of the skin                                                                                                                                                          	321000119108    	No     
History of malignant neoplasm of anus                                                                                                                                                              	112071000119105 	No     
History of melanoma in situ of skin                                                                                                                                                                	1251000119106   	No     
In situ acral lentiginous malignant melanoma                                                                                                                                                       	402557009       	No     
Lentigo maligna melanoma                                                                                                                                                                           	302837001       	No     
Local recurrence of malignant melanoma of skin                                                                                                                                                     	314976006       	No     
Malignant blue nevus of skin                                                                                                                                                                       	307603002       	No     
Malignant melanoma                                                                                                                                                                                 	2092003         	No     
Malignant melanoma                                                                                                                                                                                 	372244006       	No     
Malignant melanoma - category                                                                                                                                                                      	372156000       	No     
Malignant melanoma (radial growth phase)                                                                                                                                                           	402556000       	No     
Malignant melanoma (vertical growth phase)                                                                                                                                                         	402558004       	No     
Malignant melanoma animal-type                                                                                                                                                                     	402562005       	No     
Malignant melanoma arising in congenital nevus                                                                                                                                                     	254734009       	No     
Malignant melanoma arising in intradermal nevus                                                                                                                                                    	254733003       	No     
Malignant melanoma in giant pigmented nevus                                                                                                                                                        	75931002        	No     
Malignant melanoma in Hutchinson's melanotic freckle                                                                                                                                               	44474009        	No     
Malignant melanoma in junctional nevus                                                                                                                                                             	915007          	No     
Malignant melanoma in precancerous melanosis                                                                                                                                                       	18450009        	No     
Malignant melanoma metastatic to kidney                                                                                                                                                            	108101000119101 	No     
Malignant melanoma metastatic to pancreas                                                                                                                                                          	97051000119105  	No     
Malignant melanoma of accessory sinus                                                                                                                                                              	707350007       	No     
Malignant melanoma of ankle                                                                                                                                                                        	188073001       	No     
Malignant melanoma of anus                                                                                                                                                                         	276821000       	No     
Malignant melanoma of auricle (ear)                                                                                                                                                                	188033007       	No     
Malignant melanoma of axilla                                                                                                                                                                       	188049009       	No     
Malignant melanoma of back                                                                                                                                                                         	310498001       	No     
Malignant melanoma of breast                                                                                                                                                                       	188050009       	No     
Malignant melanoma of buccal mucosa                                                                                                                                                                	698045009       	No     
Malignant melanoma of buttock                                                                                                                                                                      	188051008       	No     
Malignant melanoma of chest wall                                                                                                                                                                   	313248004       	No     
Malignant melanoma of chin                                                                                                                                                                         	188038003       	No     
Malignant melanoma of choroid                                                                                                                                                                      	255021005       	No     
Malignant melanoma of ciliary body                                                                                                                                                                 	255015006       	No     
Malignant melanoma of conjunctiva                                                                                                                                                                  	255004001       	No     
Malignant melanoma of ear and/or external auditory canal                                                                                                                                           	188032002       	No     
Malignant melanoma of esophagus                                                                                                                                                                    	721627007       	No     
Malignant melanoma of ethmoid sinus                                                                                                                                                                	698285005       	No     
Malignant melanoma of external auditory meatus                                                                                                                                                     	188034001       	No     
Malignant melanoma of eye                                                                                                                                                                          	274087000       	No     
Malignant melanoma of eyelid                                                                                                                                                                       	231834005       	No     
Malignant melanoma of finger                                                                                                                                                                       	188064009       	No     
Malignant melanoma of floor of mouth                                                                                                                                                               	698043002       	No     
Malignant melanoma of foot                                                                                                                                                                         	188075008       	No     
Malignant melanoma of forearm                                                                                                                                                                      	188062008       	No     
Malignant melanoma of forehead                                                                                                                                                                     	188040008       	No     
Malignant melanoma of frontal sinus                                                                                                                                                                	707361004       	No     
Malignant melanoma of great toe                                                                                                                                                                    	188077000       	No     
Malignant melanoma of groin                                                                                                                                                                        	188052001       	No     
Malignant melanoma of gum                                                                                                                                                                          	698287002       	No     
Malignant melanoma of hand                                                                                                                                                                         	188063003       	No     
Malignant melanoma of head and neck                                                                                                                                                                	269578002       	No     
Malignant melanoma of heel                                                                                                                                                                         	188074007       	No     
Malignant melanoma of hip                                                                                                                                                                          	188068007       	No     
Malignant melanoma of iris                                                                                                                                                                         	255012009       	No     
Malignant melanoma of knee                                                                                                                                                                         	188070003       	No     
Malignant melanoma of left choroid                                                                                                                                                                 	1080941000119109	No     
Malignant melanoma of lip                                                                                                                                                                          	188030005       	No     
Malignant melanoma of lower leg                                                                                                                                                                    	188072006       	No     
Malignant melanoma of lower limb                                                                                                                                                                   	269581007       	No     
Malignant melanoma of lower limb and hip                                                                                                                                                           	188067002       	No     
Malignant melanoma of maxillary sinus                                                                                                                                                              	698288007       	No     
Malignant melanoma of meninges                                                                                                                                                                     	277530005       	No     
Malignant melanoma of nail apparatus                                                                                                                                                               	403927001       	No     
Malignant melanoma of nasal cavity                                                                                                                                                                 	698040004       	No     
Malignant melanoma of neck                                                                                                                                                                         	188046002       	No     
Malignant melanoma of oral cavity                                                                                                                                                                  	403926005       	No     
Malignant melanoma of palate                                                                                                                                                                       	698286006       	No     
Malignant melanoma of palatine arch                                                                                                                                                                	698044008       	No     
Malignant melanoma of perianal skin                                                                                                                                                                	93209006        	No     
Malignant melanoma of perineum                                                                                                                                                                     	188054000       	No     
Malignant melanoma of popliteal fossa area                                                                                                                                                         	188071004       	No     
Malignant melanoma of rectum                                                                                                                                                                       	276822007       	No     
Malignant melanoma of retina                                                                                                                                                                       	423673009       	No     
Malignant melanoma of right choroid                                                                                                                                                                	1080981000119104	No     
Malignant melanoma of scalp                                                                                                                                                                        	188045003       	No     
Malignant melanoma of scalp and/or neck                                                                                                                                                            	188044004       	No     
Malignant melanoma of shoulder                                                                                                                                                                     	188060000       	No     
Malignant melanoma of skin                                                                                                                                                                         	93655004        	No     
Malignant melanoma of skin of abdomen                                                                                                                                                              	93210001        	No     
Malignant melanoma of skin of ankle                                                                                                                                                                	93211002        	No     
