Term                                                                                                      	Code             	Retired
Abdominal aortic aneurysm                                                                                 	233985008        	No     
Abdominal aortic aneurysm 3.0 to 5.0 centimeters in female                                                	450771000124104  	No     
Abdominal aortic aneurysm 3.0 to 5.5 centimeters in male                                                  	450781000124101  	No     
Abdominal aortic aneurysm greater than 5.0 centimeters in female                                          	450791000124103  	No     
Abdominal aortic aneurysm greater than 5.5 centimeters in male                                            	450801000124102  	No     
Abdominal aortic aneurysm without rupture                                                                 	75878002         	No     
Abdominal aortic atherosclerosis                                                                          	233955003        	No     
Aneurysm of descending aorta                                                                              	426948001        	No     
Aneurysm of descending thoracic aorta                                                                     	2831000119107    	No     
Aneurysm of infrarenal abdominal aorta                                                                    	444569004        	No     
Aneurysm of supraceliac aorta                                                                             	427490006        	No     
Aneurysm of suprarenal aorta                                                                              	426270006        	No     
Aortic aneurysm repair                                                                                    	233370007        	No     
Aortoiliac atherosclerosis                                                                                	233956002        	No     
Aorto-iliac bifurcation graft for repair of aneurysm                                                      	405529005        	No     
Aorto-profunda bifurcation bypass with prosthesis                                                         	405486002        	No     
Aorto-profunda bifurcation graft for repair of aneurysm                                                   	405521008        	No     
Arteriolar nephritis                                                                                      	16147005         	No     
Arteriosclerosis obliterans                                                                               	361133006        	No     
Arteriosclerosis of abdominal aorta                                                                       	431401000124108  	No     
Arteriosclerosis of aorta                                                                                 	431391000124106  	No     
Arteriosclerosis of artery of extremity                                                                   	443971004        	No     
Arteriosclerosis of carotid artery                                                                        	431421000124103  	No     
Arteriosclerosis of renal artery                                                                          	431431000124100  	No     
Arteriosclerosis of thoracic aorta                                                                        	431411000124106  	No     
Arteriosclerotic gangrene                                                                                 	49176002         	No     
Arteriosclerotic retinopathy                                                                              	95691008         	No     
Arteriosclerotic vascular disease                                                                         	72092001         	No     
Atheroma of artery                                                                                        	50808002         	No     
Atherosclerosis of aorta                                                                                  	81817003         	No     
Atherosclerosis of aortoiliac bypass graft                                                                	8001000119106    	No     
Atherosclerosis of arteries of left lower limb                                                            	12237031000119103	No     
Atherosclerosis of arteries of right lower limb                                                           	12237151000119108	No     
Atherosclerosis of arteries of the extremities                                                            	51274000         	No     
Atherosclerosis of artery                                                                                 	441574008        	No     
Atherosclerosis of artery of bilateral upper limbs                                                        	15648641000119100	No     
