Term                                                      	Code     	Retired
Acute exacerbation of chronic latent schizophrenia        	191564007	No     
Acute exacerbation of subchronic latent schizophrenia     	191563001	No     
Antisocial personality disorder                           	26665006 	No     
Antisocial personality disorder in remission              	698699000	No     
Anxious personality disorder                              	231528008	No     
Avoidant personality disorder                             	37746008 	No     
Avoidant personality disorder in remission                	698690001	No     
Borderline personality disorder                           	20010003 	No     
Borderline personality disorder in remission              	698700004	No     
Borderline schizophrenia                                  	274952002	No     
Change in personality                                     	192073007	No     
Chronic depressive personality disorder                   	442057004	No     
Chronic hypomanic personality disorder                    	442245003	No     
Chronic latent schizophrenia                              	191562006	No     
Cluster A personality disorder                            	16805009 	No     
Cluster B personality disorder                            	4306003  	No     
Cluster C personality disorder                            	83890006 	No     
Compulsive personality disorder                           	473456000	No     
Dependent personality disorder                            	84466009 	No     
Drug-induced personality disorder                         	191496002	No     
Eccentric personality disorder                            	191772006	No     
Elaboration of physical symptoms for psychological reasons	192527004	No     
Emotionally unstable personality disorder                 	191765005	No     
Explosive personality disorder                            	231527003	No     
Fanatic personality                                       	231526007	No     
Histrionic personality disorder                           	55341008 	No     
Hypomanic personality disorder                            	191753006	No     
Immature personality disorder                             	191773001	No     
Intermittent explosive disorder                           	40987004 	No     
Introverted personality disorder                          	268633003	No     
Isolated explosive disorder                               	192097003	No     
Latent schizophrenia                                      	191559008	No     
Latent schizophrenia in remission                         	191565008	No     
Manipulative personality disorder                         	231525006	No     
Masochistic personality disorder                          	191774007	No     
Multiple personality disorder                             	31611000 	No     
Narcissistic personality disorder                         	80711002 	No     
Obsessional personality disorder                          	473457009	No     
Obsessive compulsive personality disorder                 	1376001  	No     
Paranoid personality disorder                             	13601005 	No     
Passive aggressive personality disorder                   	44966003 	No     
Personality disorder                                      	33449004 	No     
Post-concussional personality disorder                    	231530005	No     
Psychoinfantile personality                               	191766006	No     
Psychoneurotic personality disorder                       	268634009	No     
Schizoid personality disorder                             	52954000 	No     
Schizotypal personality disorder                          	31027006 	No     
Subchronic latent schizophrenia                           	191561004	No     
