Term                                                                                                 	Code           	Retired
A/N - shared care                                                                                    	169616000      	No     
A/N amniocentesis - awaited                                                                          	169651008      	No     
A/N amniocentesis - offered                                                                          	169648001      	No     
A/N amniocentesis wanted                                                                             	169650009      	No     
A/N care from consultant                                                                             	169615001      	No     
A/N care midwifery led                                                                               	310248000      	No     
A/N U/S scan awaited                                                                                 	169662008      	No     
A/N U/S scan for slow growth                                                                         	169667002      	No     
A/N U/S scan offered                                                                                 	169659005      	No     
A/N U/S scan wanted                                                                                  	169661001      	No     
Abdominal pregnancy                                                                                  	82661006       	No     
Abnormal amnion                                                                                      	26741000       	No     
Abnormal amniotic fluid                                                                              	42170009       	No     
Abnormal chorion                                                                                     	109562007      	No     
Abnormal fetal duplication                                                                           	72014004       	No     
Abnormal findings on antenatal screening of mother                                                   	199732004      	No     
Abnormal immature chorion                                                                            	302644007      	No     
Abnormal immature chorionic villi                                                                    	302078000      	No     
Abnormal mature chorion                                                                              	123667006      	No     
Abnormal placenta affecting management of mother                                                     	56313000       	No     
Abnormal placental secretion of chorionic gonadotropin                                               	102882004      	No     
Abnormal products of conception                                                                      	39804004       	No     
Abnormal umbilical cord                                                                              	90009001       	No     
Abnormal weight gain in pregnancy                                                                    	237288003      	No     
Abnormal yolk sac                                                                                    	17588005       	No     
Abnormality of forces of labor                                                                       	35882009       	No     
Abnormality of organs AND/OR soft tissues of pelvis affecting pregnancy                              	1639007        	No     
ABO isoimmunization affecting pregnancy                                                              	3885002        	No     
Absence of placental secretion of chorionic gonadotropin                                             	102885002      	No     
Absent blood vessel in umbilical cord                                                                	302945005      	No     
Accidental antepartum hemorrhage                                                                     	405736009      	No     
Acquired stenosis of vagina affecting pregnancy                                                      	43651009       	No     
Acute cystitis in pregnancy, antepartum                                                              	521000119104   	No     
Adherent placenta                                                                                    	28911003       	No     
Afibrinogenemia - postpartum                                                                         	237337003      	No     
AFP - blood sent                                                                                     	169688006      	No     
AFP blood test offered                                                                               	169684008      	No     
AFP blood test wanted                                                                                	169686005      	No     
Alcohol consumption during pregnancy                                                                 	427013000      	No     
Alopecia of pregnancy                                                                                	201134009      	No     
Alpha-fetoprotein blood test status                                                                  	243828009      	No     
Amnion nodosum                                                                                       	71473008       	No     
Amniotic cavity infection - delivered                                                                	199677008      	No     
Amniotic cavity infection with antenatal problem                                                     	199678003      	No     
Amniotic cyst                                                                                        	20391007       	No     
Amniotic fluid leaking                                                                               	371380006      	No     
Anemia during pregnancy - baby delivered                                                             	199244000      	No     
Anemia during pregnancy - baby not yet delivered                                                     	199246003      	No     
Angiectasis pregnancy                                                                                	41991004       	No     
Angular pregnancy                                                                                    	198627000      	No     
Anhydramnios                                                                                         	313017000      	No     
Annular placenta                                                                                     	67881007       	No     
Anomaly of placenta                                                                                  	33552005       	No     
Antenatal amniocentesis                                                                              	169646002      	No     
Antenatal Anti-D prophylaxis offered                                                                 	408784001      	No     
