Term                                                                                                 	Code     	Retired
Acute atrophic spinal paralysis                                                                      	171822009	No     
Acute complete quadriplegia due to spinal cord lesion between fifth and seventh cervical vertebra    	698743007	No     
Acute complete quadriplegia due to spinal cord lesion between first and fourth cervical vertebra     	698741009	No     
Acute paralysis due to lesion of spinal cord                                                         	698755001	No     
Anterior cervical spinal cord injury, without injury to spinal bone, C1-4                            	405755009	No     
Anterior cervical spinal cord injury, without spinal bone injury, C5-7                               	405756005	No     
Anterior cord syndrome                                                                               	282785008	No     
Anterior cord syndrome of cervical spinal cord                                                       	721380000	No     
Anterior cord syndrome of cervical spinal cord at C1 level                                           	721381001	No     
Anterior cord syndrome of cervical spinal cord at C2 level                                           	721382008	No     
Anterior cord syndrome of cervical spinal cord at C3 level                                           	721383003	No     
Anterior cord syndrome of cervical spinal cord at C4 level                                           	721384009	No     
Anterior cord syndrome of cervical spinal cord at C5 level                                           	721385005	No     
Anterior cord syndrome of cervical spinal cord at C6 level                                           	721386006	No     
Anterior cord syndrome of cervical spinal cord at C7 level                                           	721387002	No     
Anterior cord syndrome of cervical spinal cord at C8 level                                           	721388007	No     
Anterior cord syndrome of lumbar spinal cord                                                         	721511007	No     
Anterior cord syndrome of lumbar spinal cord at L1 level                                             	721512000	No     
Anterior cord syndrome of lumbar spinal cord at L2 level                                             	721513005	No     
Anterior cord syndrome of lumbar spinal cord at L3 level                                             	721514004	No     
Anterior cord syndrome of lumbar spinal cord at L4 level                                             	721515003	No     
Anterior cord syndrome of lumbar spinal cord at L5 level                                             	721516002	No     
Anterior cord syndrome of thoracic spinal cord                                                       	721455004	No     
Anterior cord syndrome of thoracic spinal cord at T1 level                                           	721456003	No     
Anterior cord syndrome of thoracic spinal cord at T10 level                                          	721465005	No     
Anterior cord syndrome of thoracic spinal cord at T11 level                                          	721466006	No     
Anterior cord syndrome of thoracic spinal cord at T12 level                                          	721467002	No     
Anterior cord syndrome of thoracic spinal cord at T2 level                                           	721457007	No     
Anterior cord syndrome of thoracic spinal cord at T3 level                                           	721458002	No     
Anterior cord syndrome of thoracic spinal cord at T4 level                                           	721459005	No     
Anterior cord syndrome of thoracic spinal cord at T5 level                                           	721460000	No     
Anterior cord syndrome of thoracic spinal cord at T6 level                                           	721461001	No     
Anterior cord syndrome of thoracic spinal cord at T7 level                                           	721462008	No     
Anterior cord syndrome of thoracic spinal cord at T8 level                                           	721463003	No     
Anterior cord syndrome of thoracic spinal cord at T9 level                                           	721464009	No     
Anterior lumbar cord injury without bony injury                                                      	212186005	No     
Anterior thoracic cord injury, without bony injury, T1-6                                             	212172006	No     
Anterior thoracic cord injury, without bony injury, T7-12                                            	212178005	No     
Brown-Séquard syndrome                                                                               	27982003 	No     
Brown-Sequard syndrome at C1 level                                                                   	721399009	No     
Brown-Sequard syndrome at C2 level                                                                   	721400002	No     
Brown-Sequard syndrome at C3 level                                                                   	721401003	No     
Brown-Sequard syndrome at C4 level                                                                   	721402005	No     
Brown-Sequard syndrome at C5 level                                                                   	721403000	No     
Brown-Sequard syndrome at C6 level                                                                   	721404006	No     
Brown-Sequard syndrome at C7 level                                                                   	721405007	No     
Brown-Sequard syndrome at C8 level                                                                   	721406008	No     
Brown-Séquard syndrome at L1 level                                                                   	721524007	No     
Brown-Séquard syndrome at L2 level                                                                   	721525008	No     
Brown-Séquard syndrome at L3 level                                                                   	721526009	No     
Brown-Séquard syndrome at L4 level                                                                   	721527000	No     
Brown-Séquard syndrome at L5 level                                                                   	721528005	No     
Brown-Séquard syndrome at T1 level                                                                   	721482007	No     
Brown-Séquard syndrome at T10 level                                                                  	721491006	No     
Brown-Séquard syndrome at T11 level                                                                  	721492004	No     
Brown-Séquard syndrome at T12 level                                                                  	721493009	No     
Brown-Séquard syndrome at T2 level                                                                   	721483002	No     
Brown-Séquard syndrome at T3 level                                                                   	721484008	No     
Brown-Séquard syndrome at T4 level                                                                   	721485009	No     
Brown-Séquard syndrome at T5 level                                                                   	721486005	No     
Brown-Séquard syndrome at T6 level                                                                   	721487001	No     
Brown-Séquard syndrome at T7 level                                                                   	721488006	No     
Brown-Séquard syndrome at T8 level                                                                   	721489003	No     
Brown-Séquard syndrome at T9 level                                                                   	721490007	No     
Brown-Sequard syndrome of cervical spinal cord                                                       	721398001	No     
Brown-Séquard syndrome of lumbar spinal cord                                                         	721523001	No     
Brown-Séquard syndrome of thoracic spinal cord                                                       	721481000	No     
Central cervical cord injury, without spinal bony injury, C1-4                                       	405757001	No     
Central cervical cord injury, without spinal bony injury, C5-7                                       	405758006	No     
Central cord syndrome                                                                                	282787000	No     
Central cord syndrome of cervical spinal cord                                                        	721371000	No     
Central cord syndrome of cervical spinal cord at C1 level                                            	721372007	No     
Central cord syndrome of cervical spinal cord at C2 level                                            	721373002	No     
Central cord syndrome of cervical spinal cord at C3 level                                            	721374008	No     
Central cord syndrome of cervical spinal cord at C4 level                                            	721375009	No     
Central cord syndrome of cervical spinal cord at C5 level                                            	721376005	No     
Central cord syndrome of cervical spinal cord at C6 level                                            	721377001	No     
Central cord syndrome of cervical spinal cord at C7 level                                            	721378006	No     
Central cord syndrome of cervical spinal cord at C8 level                                            	721379003	No     
Central cord syndrome of lumbar spinal cord                                                          	721505009	No     
Central cord syndrome of lumbar spinal cord at L1 level                                              	721506005	No     
Central cord syndrome of lumbar spinal cord at L2 level                                              	721507001	No     
